Serial_num,ortho,phon,cgram,islem,freqlemfilms2,freqfilms2,freqlemlivres,freqlivres,p_cvcv,cvcv,nbsyll,nblettres,Unnamed: 16,Unnamed: 17,freq_mism
38224,dégager,degaZe,VER,1,102.47,8.22,58.04,15.2,CVCVCV,CVCVCVC,3,7,,,H_0
38527,dégoûter,degute,VER,1,18.39,0.66,17.57,2.91,CVCVCV,CVCVVCVC,3,8,,,H_0
38711,déguiser,degize,VER,1,14.89,3.34,16.96,2.5,CVCVCV,CVCVVCVC,3,8,,,H_0
38824,déjeuner,deZ9ne,NOM,1,51.34,50.32,59.66,56.01,CVCVCV,CVCVVCVC,3,8,,,H_0
39034,délicat,delika,ADJ,1,22.52,9.6,37.03,13.72,CVCVCV,CVCVCVC,3,7,,,H_0
39360,démarrer,demaRe,VER,1,35.67,9.1,29.32,5.27,CVCVCV,CVCVCCVC,3,8,,,H_0
40179,dénoncer,den§se,VER,1,29.57,9.83,19.05,6.08,CVCVCV,CVCVCCVC,3,8,,,H_0
40407,dépasser,depase,VER,1,42.62,6.12,78.78,10.27,CVCVCV,CVCVCCVC,3,8,,,H_0
40469,dépêcher,depeSe,VER,1,111.44,7.52,22.84,3.65,CVCVCV,CVCVCCVC,3,8,,,H_0
40558,dépenser,dep@se,VER,1,31.1,8.77,15.41,5.14,CVCVCV,CVCVCCVC,3,8,,,H_0
40892,déposer,depoze,VER,1,53.09,15.03,62.7,13.24,CVCVCV,CVCVCVC,3,7,,,H_0
41077,député,depyte,NOM,1,10.4,7.4,10.88,6.42,CVCVCV,CVCVCV,3,6,,,H_0
41165,déranger,deR@Ze,VER,1,126.95,31.38,43.99,14.59,CVCVCV,CVCVCCVC,3,8,,,H_0
41380,dérouler,deRule,VER,1,11.37,1.26,39.46,5.88,CVCVCV,CVCVVCVC,3,8,,,H_0
42063,désigner,deziNe,VER,1,10.04,1.81,66.69,8.38,CVCVCV,CVCVCCVC,3,8,,,H_0
42203,désirer,deziRe,VER,1,65.63,4.28,61.89,9.12,CVCVCV,CVCVCVC,3,7,,,H_0
42301,désolé,dezole,ADJ,1,276.66,193.51,12.43,6.49,CVCVCV,CVCVCV,3,6,,,H_0
42529,dessiner,desine,VER,1,29.97,9.1,79.66,12.97,CVCVCV,CVCCVCVC,3,8,,,H_0
42697,détacher,detaSe,VER,1,19.69,4.44,65.47,15.14,CVCVCV,CVCVCCVC,3,8,,,H_0
43659,dévorer,devoRe,VER,1,19.7,4.08,37.64,7.7,CVCVCV,CVCVCVC,3,7,,,H_0
44044,différent,difeR@,ADJ,1,135.8,65.42,92.03,27.43,CVCVCV,CVCCVCVCC,3,9,,,H_0
44097,diffuser,difyze,VER,1,10.33,3.61,10.2,1.22,CVCVCV,CVCCVCVC,3,8,,,H_0
44161,dignité,diNite,NOM,1,14.61,14.59,32.77,32.43,CVCVCV,CVCCVCV,3,7,,,H_0
44500,diriger,diRiZe,VER,1,65.1,13.94,95.68,17.64,CVCVCV,CVCVCVC,3,7,,,H_0
45542,diviser,divize,VER,1,10.14,2.11,16.69,2.36,CVCVCV,CVCVCVC,3,7,,,H_0
45692,document,dokym@,NOM,1,24.86,9.34,16.01,6.69,CVCVCV,CVCVCVCC,3,8,,,H_0
45853,dominer,domine,VER,1,15.66,5.07,50.61,10.34,CVCVCV,CVCVCVC,3,7,,,H_0
59704,fabuleux,fabyl2,ADJ,1,15.34,11.1,17.5,9.86,CVCVCV,CVCVCVVC,3,8,,,H_0
60466,fatigué,fatige,ADJ,1,35.86,18.46,31.62,16.89,CVCVCV,CVCVCVV,3,7,,,H_0
60924,féminin,femin5,ADJ,1,16.88,7.51,32.91,11.28,CVCVCV,CVCVCVC,3,7,,,H_0
66843,généreux,ZeneR2,ADJ,1,23.32,16.57,23.72,13.99,CVCVCV,CVCVCVVC,3,8,,,H_0
66962,gentiment,Z@tim@,ADV,1,11.32,11.32,21.76,21.76,CVCVCV,CVCCVCVCC,3,9,,,H_0
79067,jalousie,Zaluzi,NOM,1,13.67,13.2,25.2,22.09,CVCVCV,CVCVVCVV,3,8,,,H_0
82039,libérer,libeRe,VER,1,75.77,26.16,48.51,14.53,CVCVCV,CVCVCVC,3,7,,,H_0
82360,limiter,limite,VER,1,11.19,2.62,19.26,4.46,CVCVCV,CVCVCVC,3,7,,,H_0
83972,magasin,magaz5,NOM,1,60.62,51.97,65.54,45.61,CVCVCV,CVCVCVC,3,7,,,H_0
84352,maladie,maladi,NOM,1,66.04,52.18,60.68,49.59,CVCVCV,CVCVCVV,3,7,,,H_0
86203,matinée,matine,NOM,1,12.51,12.1,34.05,32.23,CVCVCV,CVCVCVV,3,7,,,H_0
86825,mélanger,mel@Ze,VER,1,14.36,4.46,22.84,3.18,CVCVCV,CVCVCCVC,3,8,,,H_0
87429,mériter,meRite,VER,1,97.06,6.73,54.53,6.42,CVCVCV,CVCVCVC,3,7,,,H_0
93509,numéro,nymeRo,NOM,1,173.48,162.08,70.07,60.0,CVCVCV,CVCVCV,3,6,,,H_0
96841,pantalon,p@tal§,NOM,1,37.55,31.49,71.76,57.91,CVCVCV,CVCCVCVC,3,8,,,H_0
97087,paradis,paRadi,NOM,1,33.23,33.23,28.04,28.04,CVCVCV,CVCVCVC,3,7,,,H_0
98066,passager,pasaZe,NOM,1,19.41,3.75,13.24,3.24,CVCVCV,CVCCVCVC,3,8,,,H_0
104433,posséder,posede,VER,1,42.76,6.36,82.23,13.24,CVCVCV,CVCCVCVC,3,8,,,H_0
108893,qualité,kalite,NOM,1,29.13,20.84,59.12,42.7,CVCVCV,CVVCVCV,3,7,,,H_0
108911,quantité,k@tite,NOM,1,10.3,8.67,18.99,15.27,CVCVCV,CVVCCVCV,3,8,,,H_0
109774,raconter,Rak§te,VER,1,253.84,57.79,261.89,64.86,CVCVCV,CVCVCCVC,3,8,,,H_0
110487,ramasser,Ramase,VER,1,43.76,13.15,74.8,17.91,CVCVCV,CVCVCCVC,3,8,,,H_0
111252,rassurer,RasyRe,VER,1,29.25,6.06,68.04,17.57,CVCVCV,CVCCVCVC,3,8,,,H_0
112309,récemment,Resam@,ADV,1,21.07,21.07,15.07,15.07,CVCVCV,CVCVCCVCC,3,9,,,H_0
112608,réciter,Resite,VER,1,11.89,4.21,28.51,7.97,CVCVCV,CVCVCVC,3,7,,,H_0
117106,réparer,RepaRe,VER,1,67.7,39.13,25.14,13.92,CVCVCV,CVCVCVC,3,7,,,H_0
117421,répéter,Repete,VER,1,98.31,22.22,200.14,30.88,CVCVCV,CVCVCVC,3,7,,,H_0
120553,rigoler,Rigole,VER,1,47.56,10.48,33.85,9.8,CVCVCV,CVCVCVC,3,7,,,H_0
124995,sentiment,s@tim@,NOM,1,75.72,36.87,157.3,106.42,CVCVCV,CVCCVCVCC,3,9,,,H_0
125063,séparer,sepaRe,VER,1,66.22,20.34,109.8,18.38,CVCVCV,CVCVCVC,3,7,,,H_0
125876,signaler,siNale,VER,1,27.92,9.51,27.5,6.62,CVCVCV,CVCCVCVC,3,8,,,H_0
129900,suffisant,syfiz@,ADJ,1,17.56,12.95,18.99,10.0,CVCVCV,CVCCVCVCC,3,9,,,H_0
140160,vérité,veRite,NOM,1,193.24,190.21,140.88,133.38,CVCVCV,CVCVCV,3,6,,,H_0
141311,visiter,vizite,VER,1,34.92,21.23,52.16,23.18,CVCVCV,CVCVCVC,3,7,,,H_0
141805,volonté,vol§te,NOM,1,47.08,44.41,74.93,70.54,CVCVCV,CVCVCCV,3,7,,,H_0
