bad_cp,bad_as,decision,,ortho,phon,cgram,islem,freqlemfilms2,freqfilms2,freqlemlivres,freqlivres,p_cvcv,cvcv,nbsyll,nblettres,,
,x,x,137086,trick,tRik,NOM,1,0.35,0.35,0,0,CCVC,CCVCC,1,5,,
,x,x,137697,trotte,tROt,NOM,1,0.69,0.69,0.81,0.68,CCVC,CCVCCV,1,6,,
,x,x,137919,truck,tRyk,NOM,1,0.39,0.35,0.07,0,CCVC,CCVCC,1,5,,
,x,x,138211,turf,tyRf,NOM,1,0.43,0.43,1.82,1.76,CVCC,CVCC,1,4,,
,x,x,138245,turne,tyRn,NOM,1,0.56,0.56,1.96,1.76,CVCC,CVCCV,1,5,,
,x,x,140111,vergue,vERg,NOM,1,0.41,0.38,0.47,0.27,CVCC,CVCCVV,1,6,,
,,,140339,verse,vERs,NOM,1,1.44,1.42,1.42,1.42,CVCC,CVCCV,1,5,,
,x,x,141817,volte,vOlt,NOM,1,0.67,0.67,1.35,0.74,CVCC,CVCCV,1,5,,
,x,x,141943,vôtres,votR,ADJ:pos,1,0.34,0.34,0,0,CVCC,CVCCVC,1,6,,
,x,x,141946,vôtre,votR,ADJ:pos,1,1.61,1.61,0.95,0.95,CVCC,CVCCV,1,5,,
,,,141947,votre,vOtR,PRO:pos,1,0.32,0.32,0,0,CVCC,CVCCV,1,5,,
,x,x,142172,vroum,vRum,ONO,1,0.38,0.38,0.34,0.34,CCVC,CCVVC,1,5,,
,x,x,142211,vulve,vylv,NOM,1,0.32,0.32,1.35,0.95,CVCC,CVCCV,1,5,,
,,,142517,zeste,zEst,NOM,1,0.7,0.69,0.88,0.74,CVCC,CVCCV,1,5,,
