,ortho,phon,cgram,islem,freqlemfilms2,freqfilms2,freqlemlivres,freqlivres,p_cvcv,cvcv,nbsyll,nblettres
122501,sagesse,saZEs,NOM,1,13.58,13.56,21.55,21.42,CVCVC,CVCVCCV,2,7
122632,saisir,seziR,VER,1,36.81,9.4,135.74,33.78,CVCVC,CVVCVC,2,6
122678,salade,salad,NOM,1,21.8,15.88,24.26,15.41,CVCVC,CVCVCV,2,6
122683,salaire,salER,NOM,1,26.43,22.99,12.5,8.92,CVCVC,CVCVVCV,2,7
122803,salive,saliv,NOM,1,4.94,4.91,18.65,18.51,CVCVC,CVCVCV,2,6
122837,salope,salOp,NOM,1,66.97,62.54,20.54,17.97,CVCVC,CVCVCV,2,6
123565,sauvage,sovaZ,ADJ,1,24.68,16.67,54.66,34.46,CVCVC,CVVCVCV,2,7
123659,saveur,sav9R,NOM,1,3.52,3.11,12.36,10.41,CVCVC,CVCVVC,2,6
124616,seigneur,sEN9R,NOM,1,153.82,147.72,60.14,51.82,CVCVC,CVVCCVVC,2,8
124648,séjour,seZuR,NOM,1,16.6,15.7,43.58,36.82,CVCVC,CVCVVC,2,6
124749,semblant,s@bl@,NOM,1,25.63,25.55,32.09,31.89,CVCCV,CVCCCVCC,2,8
125013,sentir,s@tiR,VER,1,535.4,58.48,718.78,74.19,CVCVC,CVCCVC,2,6
125196,sergent,sERZ@,NOM,1,27.36,26.48,23.65,20.88,CVCCV,CVCCVCC,2,7
125246,serment,sERm@,NOM,1,21.19,18.18,12.23,8.85,CVCCV,CVCCVCC,2,7
125306,serpent,sERp@,NOM,1,32.2,20.91,21.08,13.24,CVCCV,CVCCVCC,2,7
125361,serrure,seRyR,NOM,1,10.07,7.4,19.26,16.08,CVCVC,CVCCVCV,2,7
125497,sévère,sevER,ADJ,1,9.47,8.28,29.73,22.91,CVCVC,CVCVCV,2,6
125539,sexe,sEks,NOM,1,52.09,50.44,52.7,46.49,CVCC,CVCV,1,4
125571,sexy,seksi,ADJ,1,26.83,26.83,1.49,1.49,CVCCV,CVCV,2,4
125614,shérif,SeRif,NOM,1,46.65,45.75,1.28,1.08,CVCVC,CCVCVC,2,6
125828,sifflet,siflE,NOM,1,4.61,3.76,17.91,13.31,CVCCV,CVCCCVC,2,7
125892,signal,siNal,NOM,1,39.61,33.98,23.11,18.72,CVCVC,CVCCVC,2,6
125968,silence,sil@s,NOM,1,106.43,105.53,325.54,313.24,CVCVC,CVCVCCV,2,7
126056,simple,s5pl,ADJ,1,137.69,124.57,148.58,124.26,CVCC,CVCCCV,1,6
126130,sincère,s5sER,ADJ,1,19.51,15.2,22.5,18.65,CVCVC,CVCCVCV,2,7
126240,sirène,siREn,NOM,1,11.35,8.06,17.5,10.34,CVCVC,CVCVCV,2,6
126404,slip,slip,NOM,1,11.35,9.29,12.77,10.07,CCVC,CCVC,1,4
126714,soldat,sOlda,NOM,1,107.92,52.78,128.92,46.22,CVCCV,CVCCVC,2,6
126766,solide,solid,ADJ,1,21.71,17.31,42.77,31.49,CVCVC,CVCVCV,2,6
126890,sombre,s§bR,ADJ,1,31.86,24.66,125.74,93.72,CVCC,CVCCCV,1,6
127101,sonnette,sonEt,NOM,1,9.55,8.47,16.15,14.12,CVCVC,CVCCVCCV,2,8
127111,sonore,sonOR,ADJ,1,4.17,3.26,27.3,19.8,CVCVC,CVCVCV,2,6
127197,sorte,sORt,NOM,1,114.73,98.33,307.16,273.38,CVCC,CVCCV,1,5
127202,sortie,sORti,NOM,1,47.81,42.58,75.27,66.01,CVCCV,CVCCVV,2,6
127375,souffler,sufle,VER,1,28.33,6.26,83.65,13.65,CVCCV,CVVCCCVC,2,8
127384,souffle,sufl,NOM,1,26.98,26.55,100.2,93.18,CVCC,CVVCCCV,1,7
127707,soupçon,sups§,NOM,1,15.53,5.75,23.58,15.61,CVCCV,CVVCCVC,2,7
127762,soupir,supiR,NOM,1,7.85,4.75,35.95,26.82,CVCVC,CVVCVC,2,6
127767,souple,supl,ADJ,1,4.22,3.21,27.23,20.0,CVCC,CVVCCV,1,6
127779,source,suRs,NOM,1,46.44,37.34,49.19,35.41,CVCC,CVVCCV,1,6
127846,sourire,suRiR,NOM,1,36.08,33.79,215.34,196.55,CVCVC,CVVCVCV,2,7
127847,sourire,suRiR,VER,1,53.97,12.31,262.91,40.34,CVCVC,CVVCVCV,2,7
128580,sport,spOR,NOM,1,30.04,24.61,20.81,15.54,CCVC,CCVCC,1,5
128683,stade,stad,NOM,1,15.14,14.34,14.8,13.18,CCVC,CCVCV,1,5
128755,star,staR,NOM,1,39.34,28.91,9.86,6.35,CCVC,CCVC,1,4
128879,steppe,stEp,NOM,1,2.78,1.57,18.65,12.97,CCVC,CCVCCV,1,6
129073,stop,stOp,NOM,1,44.5,44.36,6.76,6.49,CCVC,CCVC,1,4
129299,style,stil,NOM,1,32.34,31.08,46.62,45.14,CCVC,CCVCV,1,5
129391,subir,sybiR,VER,1,30.13,10.64,53.72,21.28,CVCVC,CVCVC,2,5
129708,succès,syksE,NOM,1,39.58,39.58,53.72,53.72,CVCCV,CVCCVC,2,6
129801,sucre,sykR,NOM,1,32.01,30.57,32.77,30.54,CVCC,CVCCV,1,5
130278,super,sypER,ADJ,1,154.83,154.83,7.09,7.09,CVCVC,CVCVC,2,5
130279,super,sypER,NOM,1,73.26,71.48,2.77,2.7,CVCVC,CVCVC,2,5
131076,sursaut,syRso,NOM,1,0.77,0.71,21.28,17.57,CVCCV,CVCCVVC,2,7
131096,surtout,syRtu,ADV,1,148.66,148.66,291.49,291.49,CVCCV,CVCCVVC,2,7
131160,survie,syRvi,NOM,1,11.64,11.64,6.08,6.08,CVCCV,CVCCVV,2,6
131292,suspect,syspE,NOM,1,32.45,22.86,3.65,1.55,CVCCV,CVCCVCC,2,7
131431,symbole,s5bOl,NOM,1,14.95,10.74,18.92,12.57,CVCVC,CVCCVCV,2,7
131684,tableau,tablo,NOM,1,50.11,37.8,90.0,57.84,CVCCV,CVCCVVV,2,7
131698,table,tabl,NOM,1,118.37,111.44,379.8,341.08,CVCC,CVCCV,1,5
132049,tambour,t@buR,NOM,1,10.2,7.8,19.32,10.54,CVCVC,CVCCVVC,2,7
132432,tarder,taRde,VER,1,28.36,15.01,34.46,12.09,CVCCV,CVCCVC,2,6
132547,tarte,taRt,NOM,1,13.04,10.41,10.34,8.31,CVCC,CVCCV,1,5
132782,taxi,taksi,NOM,1,63.77,59.42,46.82,41.22,CVCCV,CVCV,2,4
133202,tempête,t@pEt,NOM,1,19.73,15.72,31.28,24.26,CVCVC,CVCCVCV,2,7
133208,temple,t@pl,NOM,1,15.69,14.36,20.2,13.72,CVCC,CVCCCV,1,6
133277,tendance,t@d@s,NOM,1,12.98,10.95,20.88,14.26,CVCVC,CVCCVCCV,2,8
133313,tendre,t@dR,ADJ,1,21.66,18.34,61.15,45.54,CVCC,CVCCCV,1,6
133315,tendre,t@dR,VER,1,26.63,3.72,218.38,17.84,CVCC,CVCCCV,1,6
133348,tennis,tenis,NOM,1,11.37,11.37,13.24,13.24,CVCVC,CVCCVC,2,6
133462,terme,tERm,NOM,1,37.67,25.72,59.73,34.86,CVCC,CVCCV,1,5
133558,terrasse,tERas,NOM,1,10.57,9.66,74.05,61.15,CVCVC,CVCCVCCV,2,8
133588,terreur,tER9R,NOM,1,15.18,13.87,27.09,23.78,CVCVC,CVCCVVC,2,7
133721,test,tEst,NOM,1,55.38,34.87,5.61,2.91,CVCC,CVCC,1,4
134131,tigre,tigR,NOM,1,15.19,11.14,8.65,4.86,CVCC,CVCCV,1,5
134165,timbre,t5bR,NOM,1,7.86,1.82,20.81,13.18,CVCC,CVCCCV,1,6
134170,timide,timid,ADJ,1,16.36,14.18,25.14,19.53,CVCVC,CVCVCV,2,6
134344,tireur,tiR9R,NOM,1,18.09,12.83,8.72,5.41,CVCVC,CVCVVC,2,6
134456,titre,titR,NOM,1,41.35,32.4,71.22,53.04,CVCC,CVCCV,1,5
134492,toast,tost,NOM,1,16.3,13.73,4.39,1.96,CVCC,CVVCC,1,5
134779,tonnerre,tonER,NOM,1,11.4,10.9,19.39,18.65,CVCVC,CVCCVCCV,2,8
135000,torse,tORs,NOM,1,3.82,3.75,21.08,19.39,CVCC,CVCCV,1,5
135114,total,total,ADJ,1,24.59,9.29,41.62,16.35,CVCVC,CVCVC,2,5
135140,toubib,tubib,NOM,1,6.62,5.71,13.72,11.35,CVCVC,CVVCVC,2,6
