,ortho,phon,cgram,islem,freqlemfilms2,freqfilms2,freqlemlivres,freqlivres,p_cvcv,cvcv,nbsyll,nblettres
93428,nudité,nydite,NOM,1,2.11,2.1,13.51,12.57,CVCVCV,CVCVCV,3,6
93509,numéro,nymeRo,NOM,1,173.48,162.08,70.07,60.0,CVCVCV,CVCVCV,3,6
96841,pantalon,p@tal§,NOM,1,37.55,31.49,71.76,57.91,CVCVCV,CVCCVCVC,3,8
97087,paradis,paRadi,NOM,1,33.23,33.23,28.04,28.04,CVCVCV,CVCVCVC,3,7
97224,parapet,paRapE,NOM,1,0.88,0.73,12.91,10.88,CVCVCV,CVCVCVC,3,7
104433,posséder,posede,VER,1,42.76,6.36,82.23,13.24,CVCVCV,CVCCVCVC,3,8
108734,pyjama,piZama,NOM,1,8.11,7.1,17.57,15.07,CVCVCV,CVCVCV,3,6
108893,qualité,kalite,NOM,1,29.13,20.84,59.12,42.7,CVCVCV,CVVCVCV,3,7
108911,quantité,k@tite,NOM,1,10.3,8.67,18.99,15.27,CVCVCV,CVVCCVCV,3,8
109774,raconter,Rak§te,VER,1,253.84,57.79,261.89,64.86,CVCVCV,CVCVCCVC,3,8
110327,ralenti,Ral@ti,NOM,1,9.2,3.08,10.61,10.2,CVCVCV,CVCVCCV,3,7
110487,ramasser,Ramase,VER,1,43.76,13.15,74.8,17.91,CVCVCV,CVCVCCVC,3,8
111252,rassurer,RasyRe,VER,1,29.25,6.06,68.04,17.57,CVCVCV,CVCCVCVC,3,8
112309,récemment,Resam@,ADV,1,21.07,21.07,15.07,15.07,CVCVCV,CVCVCCVCC,3,9
114783,régiment,ReZim@,NOM,1,12.3,11.48,25.54,19.86,CVCVCV,CVCVCVCC,3,8
117106,réparer,RepaRe,VER,1,67.7,39.13,25.14,13.92,CVCVCV,CVCVCVC,3,7
117421,répéter,Repete,VER,1,98.31,22.22,200.14,30.88,CVCVCV,CVCVCVC,3,7
119781,révéler,Revele,VER,1,32.7,10.33,60.34,13.31,CVCVCV,CVCVCVC,3,7
120553,rigoler,Rigole,VER,1,47.56,10.48,33.85,9.8,CVCVCV,CVCVCVC,3,7
120880,robinet,RobinE,NOM,1,5.89,5.12,18.24,13.65,CVCVCV,CVCVCVC,3,7
124995,sentiment,s@tim@,NOM,1,75.72,36.87,157.3,106.42,CVCVCV,CVCCVCVCC,3,9
125063,séparer,sepaRe,VER,1,66.22,20.34,109.8,18.38,CVCVCV,CVCVCVC,3,7
129900,suffisant,syfiz@,ADJ,1,17.56,12.95,18.99,10.0,CVCVCV,CVCCVCVCC,3,9
130452,supposer,sypoze,VER,1,120.31,3.92,62.5,14.46,CVCVCV,CVCCVCVC,3,8
131463,sympathie,s5pati,NOM,1,7.68,6.87,26.15,24.05,CVCVCV,CVCCVCCVV,3,9
131720,tabouret,tabuRE,NOM,1,3.19,2.79,18.38,15.47,CVCVCV,CVCVVCVC,3,8
133929,thérapie,teRapi,NOM,1,13.63,12.98,0.07,0.07,CVCVCV,CCVCVCVV,3,8
139262,vanité,vanite,NOM,1,5.75,5.16,17.97,16.49,CVCVCV,CVCVCV,3,6
140160,vérité,veRite,NOM,1,193.24,190.21,140.88,133.38,CVCVCV,CVCVCV,3,6
141311,visiter,vizite,VER,1,34.92,21.23,52.16,23.18,CVCVCV,CVCVCVC,3,7
141805,volonté,vol§te,NOM,1,47.08,44.41,74.93,70.54,CVCVCV,CVCVCCV,3,7
