,ortho,phon,cgram,islem,freqlemfilms2,freqfilms2,freqlemlivres,freqlivres,p_cvcv,cvcv,nbsyll,nblettres
12374,badiner,badine,VER,1,0.59,0.18,1.35,0.27,CVCVCV,CVCVCVC,3,7
12798,balancé,bal@se,ADJ,1,0.94,0.51,2.43,0.47,CVCVCV,CVCVCCV,3,7
12935,baliser,balize,VER,1,0.65,0.06,2.03,0.34,CVCVCV,CVCVCVC,3,7
12989,ballonner,balone,VER,1,0.66,0.15,1.15,0.14,CVCVCV,CVCCVCCVC,3,9
13014,ballotter,balote,VER,1,0.72,0.02,5.68,0.41,CVCVCV,CVCCVCCVC,3,9
13111,bananer,banane,VER,1,1.04,0.0,0.2,0.07,CVCVCV,CVCVCVC,3,7
13333,baraqué,baRake,ADJ,1,1.04,0.96,0.68,0.41,CVCVCV,CVCVCVV,3,7
14129,bavasser,bavase,VER,1,0.91,0.48,0.95,0.41,CVCVCV,CVCVCCVC,3,8
14306,bécoter,bekote,VER,1,1.05,0.28,0.88,0.41,CVCVCV,CVCVCVC,3,7
14623,benjamin,b5Zam5,NOM,1,0.81,0.33,0.81,0.47,CVCVCV,CVCCVCVC,3,8
14797,besogner,b2zoNe,VER,1,0.6,0.2,2.3,0.2,CVCVCV,CVCVCCVC,3,8
15017,bichonner,biSone,VER,1,1.4,0.72,1.42,0.41,CVCVCV,CVCCVCCVC,3,9
15063,bidonner,bidone,VER,1,1.0,0.33,1.89,0.34,CVCVCV,CVCVCCVC,3,8
15252,bigoudi,bigudi,NOM,1,0.73,0.18,3.45,0.61,CVCVCV,CVCVVCV,3,7
17477,bourricot,buRiko,NOM,1,0.52,0.49,1.08,0.34,CVCVCV,CVVCCVCVC,3,9
19400,cabosser,kabose,VER,1,0.94,0.06,4.32,0.27,CVCVCV,CVCVCCVC,3,8
19476,cachalot,kaSalo,NOM,1,0.72,0.7,0.95,0.88,CVCVCV,CVCCVCVC,3,8
20110,câliner,kaline,VER,1,0.81,0.45,1.22,0.41,CVCVCV,CVCVCVC,3,7
