,ortho,phon,cgram,islem,freqlemfilms2,freqfilms2,freqlemlivres,freqlivres,p_cvcv,cvcv,nbsyll,nblettres
60628,fauvette,fovEt,NOM,1,0.6,0.6,2.23,1.62,CVCVC,CVVCVCCV,2,8
60687,faxer,fakse,VER,1,2.58,0.65,0.07,0.07,CVCCV,CVCVC,2,5
60777,feeling,filiG,NOM,1,1.53,1.3,0.54,0.54,CVCVC,CVVCVCC,2,7
60798,feignasse,fENas,NOM,1,0.72,0.52,0.2,0.14,CVCVC,CVVCCVCCV,2,9
60953,fémur,femyR,NOM,1,1.48,1.42,0.81,0.61,CVCVC,CVCVC,2,5
61067,fermé,fERme,ADJ,1,21.46,7.61,56.35,13.38,CVCCV,CVCCV,2,5
61129,féroce,feROs,ADJ,1,6.33,4.39,16.22,12.3,CVCVC,CVCVCV,2,6
61224,fervent,fERv@,ADJ,1,2.13,1.22,4.53,2.03,CVCCV,CVCCVCC,2,7
61256,festin,fEst5,NOM,1,4.5,4.05,5.68,4.46,CVCCV,CVCCVC,2,6
61292,fêtard,fEtaR,NOM,1,0.77,0.34,1.22,0.2,CVCVC,CVCVCC,2,6
61309,fétiche,fetiS,NOM,1,1.48,1.03,5.27,4.39,CVCVC,CVCVCCV,2,7
61320,fétide,fetid,ADJ,1,1.18,1.1,2.7,2.23,CVCVC,CVCVCV,2,6
61496,ficelle,fisEl,NOM,1,6.31,3.13,21.22,13.38,CVCVC,CVCVCCV,2,7
61554,fidèle,fidEl,NOM,1,7.16,2.82,15.47,3.78,CVCVC,CVCVCV,2,6
61832,filmer,filme,VER,1,40.08,12.89,3.45,1.28,CVCCV,CVCCVC,2,6
61894,finale,final,NOM,1,5.45,4.86,2.84,2.5,CVCVC,CVCVCV,2,6
61898,final,final,ADJ,1,18.2,9.73,19.39,11.55,CVCVC,CVCVC,2,5
61899,final,final,NOM,1,3.76,3.74,1.69,1.62,CVCVC,CVCVC,2,5
61917,finance,fin@s,NOM,1,8.03,2.13,8.78,1.76,CVCVC,CVCVCCV,2,7
61965,finesse,finEs,NOM,1,2.38,2.21,9.32,7.84,CVCVC,CVCVCCV,2,7
62067,fissure,fisyR,NOM,1,2.74,1.25,8.11,4.66,CVCVC,CVCCVCV,2,7
62104,fixé,fikse,ADJ,1,2.09,0.91,4.59,2.23,CVCCV,CVCV,2,4
62829,focal,fokal,ADJ,1,0.68,0.25,0.07,0.07,CVCVC,CVCVC,2,5
62844,foetal,fetal,ADJ,1,1.05,0.27,1.35,0.34,CVCVC,CVVCVC,2,6
62846,foetus,fetys,NOM,1,3.06,3.06,2.57,2.57,CVCVC,CVVCVC,2,6
62986,fonceur,f§s9R,NOM,1,0.72,0.42,0.14,0.14,CVCVC,CVCCVVC,2,7
63148,forage,foRaZ,NOM,1,0.91,0.82,0.27,0.2,CVCVC,CVCVCV,2,6
63172,forçat,fORsa,NOM,1,1.26,0.3,3.11,1.35,CVCCV,CVCCVC,2,6
63179,forcé,fORse,ADJ,1,4.63,2.36,13.51,5.74,CVCCV,CVCCV,2,5
63239,foreur,fOR9R,NOM,1,1.2,0.23,0.2,0.0,CVCVC,CVCVVC,2,6
63247,forfait,fORfE,NOM,1,2.03,1.5,4.59,3.38,CVCCV,CVCCVVC,2,7
63248,forfait,fORfE,VER,1,0.94,0.94,0.68,0.68,CVCCV,CVCCVVC,2,7
63271,forger,fORZe,VER,1,9.02,3.16,11.82,1.62,CVCCV,CVCCVC,2,6
63320,format,fORma,NOM,1,1.9,1.8,8.11,6.96,CVCCV,CVCCVC,2,6
63331,formé,fORme,ADJ,1,0.93,0.52,3.24,0.95,CVCCV,CVCCV,2,5
63473,forum,foROm,NOM,1,1.4,1.14,1.08,0.95,CVCVC,CVCVC,2,5
63479,fossette,fosEt,NOM,1,0.86,0.44,4.32,2.09,CVCVC,CVCCVCCV,2,8
63482,fossile,fosil,NOM,1,2.02,1.4,0.74,0.2,CVCVC,CVCCVCV,2,7
63564,foufoune,fufun,NOM,1,0.69,0.57,0.0,0.0,CVCVC,CVVCVVCV,2,8
63570,fougasse,fugas,NOM,1,2.54,2.54,0.14,0.14,CVCVC,CVVCVCCV,2,8
63574,fougère,fuZER,NOM,1,0.76,0.48,8.11,0.74,CVCVC,CVVCVCV,2,7
63701,fourbi,fuRbi,NOM,1,0.78,0.77,3.18,2.91,CVCCV,CVVCCV,2,6
63732,fourchu,fuRSy,ADJ,1,0.75,0.17,1.42,0.27,CVCCV,CVVCCCV,2,7
63736,fourgon,fuRg§,NOM,1,8.69,7.87,7.7,5.14,CVCCV,CVVCCVC,2,7
63756,fourguer,fuRge,VER,1,2.47,1.1,5.07,1.82,CVCCV,CVVCCVVC,2,8
63765,fourmi,fuRmi,NOM,1,9.61,2.78,12.77,5.14,CVCCV,CVVCCV,2,6
63787,fourneau,fuRno,NOM,1,2.26,1.13,15.34,12.3,CVCCV,CVVCCVVV,2,8
63796,fourni,fuRni,ADJ,1,0.56,0.16,3.11,1.22,CVCCV,CVVCCV,2,6
63837,fourrage,fuRaZ,NOM,1,0.63,0.58,2.3,1.89,CVCVC,CVVCCVCV,2,8
63910,foutaise,futEz,NOM,1,8.66,1.8,2.7,0.74,CVCVC,CVVCVVCV,2,8
63920,fouteur,fut9R,NOM,1,0.54,0.46,0.07,0.07,CVCVC,CVVCVVC,2,7
65114,fugace,fygas,ADJ,1,0.85,0.68,4.39,3.18,CVCVC,CVCVCV,2,6
65140,fugueur,fyg9R,NOM,1,0.83,0.16,0.81,0.27,CVCVC,CVCVVVC,2,7
65274,fumeur,fym9R,NOM,1,3.85,2.09,3.04,1.96,CVCVC,CVCVVC,2,6
65320,funky,f9nki,ADJ,1,1.51,1.51,0.07,0.07,CVCCV,CVCCV,2,5
65488,futal,fytal,NOM,1,0.72,0.68,0.54,0.47,CVCVC,CVCVC,2,5
65504,futile,fytil,ADJ,1,2.94,2.23,8.31,4.86,CVCVC,CVCVCV,2,6
