,original,ortho,phon,p_cvcv,cvcv,nbsyll,nblettres,msmch/fr
13951,bâtiment,baliment,balim@,CVCVCV,CVCVCVCC,3,8,0 high
42529,dessiner,degimner,degimne,CVCVCV,CVCCVCVC,3,8,0 high
111615,ravissant,rachissant,RaSis@,CVCVCV,CVCVCCVCC,3,9,0 high
84352,maladie,labadie,labadi,CVCVCV,CVCVCVV,3,7,0 high
39034,délicat,mericat,merika,CVCVCV,CVCVCVC,3,7,0 high
40892,déposer,dechoser,deSose,CVCVCV,CVCVCVC,3,7,0 high
117421,répéter,vepeter,vepete,CVCVCV,CVCVCVC,3,7,0 high
93509,numéro,nutero,nyteRo,CVCVCV,CVCVCV,3,6,0 high
27766,compagnie,collagnie,k§laNi,CVCVCV,CVCCVCCVV,3,9,0 high
79067,jalousie,malousie,maluzi,CVCVCV,CVCVVCVV,3,8,0 high
97546,parigot,pagirot,pagiro,CVCVCV,CVCVCVC,3,7,0 low
134034,tibétain,tibelain,tibel5,CVCVCV,CVCVCVVC,3,8,0 low
60649,favela,farella,farela,CVCVCV,CVCVCV,3,6,0 low
34867,cutané,cuman?,kymane,CVCVCV,CVCVCV,3,6,0 low
85510,marina,massina,maSina,CVCVCV,CVCVCV,3,6,0 low
141510,vivoter,viboter,vibote,CVCVCV,CVCVCVC,3,7,0 low
141207,virulent,vigulent,vigyl@,CVCVCV,CVCVCVCC,3,8,0 low
122780,salissant,samissant,samis@,CVCVCV,CVCVCCVCC,3,9,0 low
140913,vilenie,billenie,bileni,CVCVCV,CVCVCVV,3,7,0 low
122480,safari,sanari,sanaRi,CVCVCV,CVCVCV,3,6,0 low
13957,bâtir,b?chir,beSiR,CVCVC,CVCVC,2,5,1 high
114785,régime,r?nime,Renim,CVCVC,CVCVCV,2,6,1 high
91800,nature,namure,namyR,CVCVC,CVCVCV,2,6,1 high
122632,saisir,sainir,seniR,CVCVC,CVVCVC,2,6,1 high
61898,final,ginal,ginal,CVCVC,CVCVC,2,5,1 high
87010,ménage,mellage,melage,CVCVC,CVCVCV,2,6,1 high
46204,doubler,douchner,duSne,CVCCV,CVVCCVC,2,7,1 high
82821,local,vogal,vogal,CVCVC,CVCVC,2,5,1 high
131684,tableau,talmeau,talmo,CVCCV,CVCCVVV,2,7,1 high
122772,salir,sacir,sakiR,CVCVC,CVCVC,2,5,1 high
46275,doudoune,douboune,dubun,CVCVC,CVVCVVCV,2,8,1 low
104651,potiche,poliche,poliS,CVCVC,CVCVCCV,2,7,1 low
13375,barbant,barmant,baRm@,CVCCV,CVCCVCC,2,7,1 low
16136,bobonne,momonne,momOn,CVCVC,CVCVCCV,2,7,1 low
99697,perdant,pertant,pERt@,CVCCV,CVCCVCC,2,7,1 low
23476,charmé,charb?,SaRbe,CVCCV,CCVCCV,2,6,1 low
127060,sonique,sollique,solik,CVCVC,CVCVCVV,2,7,1 low
83147,lotus,logus,logys,CVCVC,CVCVC,2,5,1 low
140901,viking,virine,virin,CVCVC,CVCVCC,2,6,1 low
129736,succube,summube,symyb,CVCVC,CVCCVCV,2,7,1 low
106532,prince,pringe,pR5g,CCVC,CCVCCV,1,6,2 high
61069,ferme,ferte,fERt,CVCC,CVCCV,1,5,2 high
64689,fringue,dringue,dR5g,CCVC,CCVCCVV,1,7,2 high
17493,bourse,mourse,muRs,CVCC,CVVCCV,1,6,2 high
91530,naître,la?tre,lEtR,CVCC,CVVCCV,1,6,2 high
81159,large,parge,paRZ,CVCC,CVCCV,1,5,2 high
87736,mètre,mattre,matR,CVCC,CVCCV,1,5,2 high
68374,grâce,gr?be,gRab,CCVC,CCVCV,1,5,2 high
85921,masque,malque,malk,CVCC,CVCCVV,1,6,2 high
20169,calme,balme,balm,CVCC,CVCCV,1,5,2 high
80010,jusque,lusque,lysk,CVCC,CVCCVV,1,6,2 low
129181,strie,smnie,smni,CCCV,CCCVV,1,5,2 low
68763,gratte,glatte,glat,CCVC,CCVCCV,1,6,2 low
128566,spore,smore,smOR,CCVC,CCVCV,1,5,2 low
137068,triche,griche,gRiS,CCVC,CCVCCV,1,6,2 low
102986,ploc,ploch,plOS,CCVC,CCVC,1,4,2 low
45639,djinn,blinn,blin,CCVC,CCVCC,1,5,2 low
100466,peste,meste,mEst,CVCC,CVCCV,1,5,2 low
128760,stase,stape,stap,CCVC,CCVCV,1,5,2 low
80418,kyste,lyste,list,CVCC,CVCCV,1,5,2 low
