bad_cp,bad_as,decision,,ortho,phon,cgram,islem,freqlemfilms2,freqfilms2,freqlemlivres,freqlivres,p_cvcv,cvcv,nbsyll,nblettres,,
,x,x,29072,confiné,k§fine,ADJ,1,0.6,0.34,1.69,0.88,CVCVCV,CVCCVCV,3,7,,
,x,,29468,conjuré,k§ZyRe,NOM,1,0.56,0,0.47,0.07,CVCVCV,CVCCVCV,3,7,,
,,,29858,consigné,k§siNe,ADJ,1,0.72,0.19,0.27,0.14,CVCVCV,CVCCVCCV,3,8,,
,,,30589,continu,k§tiny,NOM,1,0.72,0.61,0.14,0.14,CVCVCV,CVCCVCV,3,7,,
x,x,x,31597,copuler,kopyle,VER,1,1.19,0.66,0.54,0.34,CVCVCV,CVCVCVC,3,7,,
x,x,x,31830,corona,koRona,NOM,1,0.5,0.5,0.27,0.27,CVCVCV,CVCVCV,3,6,,
,,,31948,corrigé,koRiZe,ADJ,1,0.38,0.05,1.08,0.41,CVCVCV,CVCCVCV,3,7,,
,,,32008,corrompu,koR§py,NOM,1,1.02,0.52,0.61,0.54,CVCVCV,CVCCVCCV,3,8,,
x,x,x,32095,cosigner,kosiNe,VER,1,0.32,0.1,0,0,CVCVCV,CVCVCCVC,3,8,,
,,,32232,cotiser,kotize,VER,1,0.88,0.14,0.88,0.2,CVCVCV,CVCVCVC,3,7,,
,,,32700,couronné,kuRone,ADJ,1,0.63,0.08,1.49,0.34,CVCVCV,CVVCVCCV,3,8,,
,,,34669,culotté,kylote,ADJ,1,0.7,0.55,0.88,0.47,CVCVCV,CVCVCCV,3,7,,
x,x,x,34671,culotter,kylote,VER,1,0.63,0,1.42,0.07,CVCVCV,CVCVCCVC,3,8,,
,,,34767,cumuler,kymyle,VER,1,0.65,0.07,1.35,0.2,CVCVCV,CVCVCVC,3,7,,
,,,34867,cutané,kytane,ADJ,1,0.41,0.05,0.2,0,CVCVCV,CVCVCV,3,6,,
,,,35588,débauché,deboSe,NOM,1,1.09,0.62,1.35,0.74,CVCVCV,CVCVVCCV,3,8,,
x,x,x,35595,débaucher,deboSe,VER,1,0.8,0.19,1.69,0.61,CVCVCV,CVCVVCCVC,3,9,,
,,,36015,débutant,debyt@,ADJ,1,1.65,0.77,1.01,0.47,CVCVCV,CVCVCVCC,3,8,,
,,,36055,décadent,dekad@,ADJ,1,1.47,0.6,1.35,0.47,CVCVCV,CVCVCVCC,3,8,,
,,,36085,décalé,dekale,ADJ,1,0.65,0.41,0.68,0.41,CVCVCV,CVCVCV,3,6,,
,,,36092,décaler,dekale,VER,1,1.36,0.47,1.42,0.2,CVCVCV,CVCVCVC,3,7,,
,,,36365,déchaîné,deSEne,NOM,1,0.35,0.18,1.42,0.61,CVCVCV,CVCCVVCV,3,8,,
,x,x,37184,découcher,dekuSe,VER,1,1.03,0.2,0.88,0.2,CVCVCV,CVCVVCCVC,3,9,,
,,,37278,décousu,dekuzy,ADJ,1,0.49,0.2,1.62,0.54,CVCVCV,CVCVVCV,3,7,,
x,x,x,37842,déféquer,defeke,VER,1,0.92,0.48,0.61,0.27,CVCVCV,CVCVCVVC,3,8,,
,x,x,37859,déférer,defeRe,VER,1,0.42,0.05,0.47,0.07,CVCVCV,CVCVCVC,3,7,,
,,,38210,dégagé,degaZe,NOM,1,0.41,0.41,0.41,0.27,CVCVCV,CVCVCV,3,6,,
x,x,x,38687,dégueulis,deg2li,NOM,1,0.31,0.31,1.15,1.15,CVCVCV,CVCVVVCVC,3,9,,
,,,38697,déguisé,degize,NOM,1,0.69,0.23,0.61,0.47,CVCVCV,CVCVVCV,3,7,,
,,,38790,déjanté,deZ@te,ADJ,1,0.58,0.43,0.2,0.2,CVCVCV,CVCVCCV,3,7,,
x,x,x,38795,déjanter,deZ@te,VER,1,0.86,0.09,0.54,0.14,CVCVCV,CVCVCCVC,3,8,,
,,,38975,délégué,delege,ADJ,1,0.58,0.25,1.76,1.49,CVCVCV,CVCVCVV,3,7,,
,x,x,39212,déluré,delyRe,ADJ,1,0.36,0.16,0.81,0.41,CVCVCV,CVCVCV,3,6,,
,,,39847,démoder,demode,VER,1,1.03,0,1.55,0.07,CVCVCV,CVCVCVC,3,7,,
,,,40013,démuni,demyni,NOM,1,0.42,0.05,1.28,0.74,CVCVCV,CVCVCV,3,6,,
,,,40153,dénommé,denome,ADJ,1,0.85,0.48,1.22,0.81,CVCVCV,CVCVCCV,3,7,,
,,,40516,dépendant,dep@d@,ADJ,1,1.81,0.56,0.95,0.34,CVCVCV,CVCVCCVCC,3,9,,
,,,41125,déraison,deREz§,NOM,1,0.36,0.36,1.35,1.15,CVCVCV,CVCVVCVC,3,8,,
,,,41252,dérivé,deRive,ADJ,1,0.57,0.03,0.27,0,CVCVCV,CVCVCV,3,6,,
x,x,x,41253,dérivé,deRive,NOM,1,0.65,0.36,0.68,0.2,CVCVCV,CVCVCV,3,6,,
,,,41343,déroger,deRoZe,VER,1,0.46,0.18,1.01,0.34,CVCVCV,CVCVCVC,3,7,,
x,x,x,41529,désaper,desape,VER,1,0.77,0.38,0.14,0,CVCVCV,CVCVCVC,3,7,,
,,,42062,designer,deziNe,NOM,1,0.57,0.51,0,0,CVCVCV,CVCVCCVC,3,8,,
,,,42380,désosser,dezose,VER,1,0.59,0.13,1.55,0.34,CVCVCV,CVCVCCVC,3,8,,
x,,x,42546,dessouder,desude,VER,1,0.63,0.45,0.54,0.14,CVCVCV,CVCCVVCVC,3,9,,
,x,x,42556,dessoûler,desule,VER,1,1.69,0.37,0.81,0.14,CVCVCV,CVCCVVCVC,3,9,,
,,,42682,détaché,detaSe,NOM,1,0.34,0.25,0.88,0.74,CVCVCV,CVCVCCV,3,7,,
,,,42943,déterré,deteRe,NOM,1,0.4,0.3,0.07,0.07,CVCVCV,CVCVCCV,3,7,,
,,,43026,détoner,detone,VER,1,0.37,0.3,0.2,0,CVCVCV,CVCVCVC,3,7,,
,,,43033,détonner,detone,VER,1,0.32,0.1,1.55,0.2,CVCVCV,CVCVCCVC,3,8,,
x,x,x,43739,dézinguer,dez5ge,VER,1,0.35,0.16,0,0,CVCVCV,CVCVCCVVC,3,9,,
,,,44002,diffamer,difame,VER,1,0.81,0.12,0.54,0.07,CVCVCV,CVCCVCVC,3,8,,
,,,44486,dirigé,diRiZe,ADJ,1,0.32,0.07,1.22,0.27,CVCVCV,CVCVCV,3,6,,
,x,x,45074,dissident,disid@,ADJ,1,0.61,0.25,0.81,0.34,CVCVCV,CVCCVCVCC,3,9,,
x,x,x,45075,dissident,disid@,NOM,1,0.88,0.33,0.68,0.07,CVCVCV,CVCCVCVCC,3,9,,
,,,45161,dissolu,disoly,ADJ,1,0.82,0.12,0.68,0.07,CVCVCV,CVCCVCV,3,7,,
,,,45532,divisé,divize,ADJ,1,0.66,0.41,1.62,0.41,CVCVCV,CVCVCV,3,6,,
,,,59700,fabuler,fabyle,VER,1,0.42,0.02,0.34,0.2,CVCVCV,CVCVCVC,3,7,,
x,x,x,60162,fandango,f@d@go,NOM,1,0.38,0.38,0,0,CVCVCV,CVCCVCCV,3,8,,
,x,,60190,fanfaron,f@faR§,ADJ,1,0.39,0.23,1.22,0.68,CVCVCV,CVCCVCVC,3,8,,
x,x,x,60191,fanfaron,f@faR§,NOM,1,0.9,0.68,0.47,0.2,CVCVCV,CVCCVCVC,3,8,,
x,x,x,60649,favela,favela,NOM,1,1.62,1.25,0.07,0,CVCVCV,CVCVCV,3,6,,
,,,60925,féminin,femin5,NOM,1,1.09,1.08,1.49,1.35,CVCVCV,CVCVCVC,3,7,,
,x,,61698,figuré,figyRe,ADJ,1,0.57,0.56,1.08,0.95,CVCVCV,CVCVCV,3,6,,
,x,x,61860,filouter,filute,VER,1,0.53,0.19,0.2,0.07,CVCVCV,CVCVVCVC,3,8,,
,,,62070,fissurer,fisyRe,VER,1,0.69,0.06,1.76,0.14,CVCVCV,CVCCVCVC,3,8,,
x,x,x,62910,folichon,fOliS§,ADJ,1,0.72,0.69,0.27,0.2,CVCVCV,CVCVCCVC,3,8,,
,x,x,62958,fomenter,fom@te,VER,1,0.44,0.06,1.35,0.61,CVCVCV,CVCVCCVC,3,8,,
,,,65550,gabarit,gabaRi,NOM,1,0.33,0.3,1.82,1.62,CVCVCV,CVCVCVC,3,7,,
,x,,65808,galérer,galeRe,VER,1,0.91,0.36,0.74,0.2,CVCVCV,CVCVCVC,3,7,,
,,,65898,galopant,galop@,ADJ,1,0.31,0.08,1.89,0.54,CVCVCV,CVCVCVCC,3,8,,
,x,x,66341,garrotter,gaRote,VER,1,0.35,0.01,0.68,0.07,CVCVCV,CVCCVCCVC,3,9,,
x,x,x,70120,gynéco,Zineko,NOM,1,0.96,0.96,0.54,0.54,CVCVCV,CVCVCV,3,6,,
,x,x,79768,jubilé,Zybile,NOM,1,0.33,0.33,0.41,0.41,CVCVCV,CVCVCV,3,6,,
,x,x,79862,juguler,Zygyle,VER,1,0.39,0.21,0.61,0.27,CVCVCV,CVCVCVC,3,7,,
x,x,x,80091,kabuki,kabuki,NOM,1,0.42,0.42,0.14,0.14,CVCVCV,CVCVCV,3,6,,
,,,80128,kangourou,k@guRu,NOM,1,1.85,1.42,1.42,1.15,CVCVCV,CVCCVVCVV,3,9,,
,x,x,80748,lamantin,lam@t5,NOM,1,0.84,0.54,0.2,0.14,CVCVCV,CVCVCCVC,3,8,,
,x,x,80768,lambiner,l@bine,VER,1,0.62,0.22,1.15,0.54,CVCVCV,CVCCVCVC,3,8,,
,,,80841,laminer,lamine,VER,1,0.7,0.44,1.55,0.34,CVCVCV,CVCVCVC,3,7,,
,,,81076,lapider,lapide,VER,1,0.93,0.27,1.35,0.34,CVCVCV,CVCVCVC,3,7,,
,,,81820,leucémie,l2semi,NOM,1,1.9,1.72,0.61,0.54,CVCVCV,CVVCVCVV,3,8,,
,,,81908,léviter,levite,VER,1,0.47,0.46,0.07,0,CVCVCV,CVCVCVC,3,7,,
,x,x,81974,libanais,libanE,NOM,1,0.92,0.85,1.69,1.42,CVCVCV,CVCVCVVC,3,8,,
,x,x,82076,libido,libido,NOM,1,1.79,1.79,1.22,1.22,CVCVCV,CVCVCV,3,6,,
,,,82220,ligament,ligam@,NOM,1,1.12,0.29,0.47,0,CVCVCV,CVCVCVCC,3,8,,
,,,82256,ligoté,ligote,ADJ,1,0.62,0.29,1.42,0.61,CVCVCV,CVCVCV,3,6,,
,,,82376,limoger,limoZe,VER,1,0.51,0.18,0.34,0,CVCVCV,CVCVCVC,3,7,,
,,,83740,macaron,makaR§,NOM,1,0.34,0.12,1.35,0.61,CVCVCV,CVCVCVC,3,7,,
,,,83764,macérer,maseRe,VER,1,0.32,0.23,1.82,0.54,CVCVCV,CVCVCVC,3,7,,
,,,84243,maisonnée,mEzone,NOM,1,0.33,0.33,1.82,1.76,CVCVCV,CVVCVCCVV,3,9,,
x,x,x,84371,malaga,malaga,NOM,1,0.84,0.84,1.28,1.28,CVCVCV,CVCVCV,3,6,,
x,x,x,84715,mandala,m@dala,NOM,1,1.76,1.76,0.07,0,CVCVCV,CVCCVCV,3,7,,
,x,x,84726,mandarin,m@daR5,NOM,1,0.47,0.43,1.82,1.22,CVCVCV,CVCCVCVC,3,8,,
,x,,84739,mandater,m@date,VER,1,1.14,0.02,0.95,0,CVCVCV,CVCCVCVC,3,8,,
x,x,x,84999,manitou,manitu,NOM,1,0.51,0.47,0.88,0.74,CVCVCV,CVCVCVV,3,7,,
,x,x,85510,marina,maRina,NOM,1,1.16,1.14,0.14,0.07,CVCVCV,CVCVCV,3,6,,
,,,85517,mariné,maRine,ADJ,1,0.34,0.18,0.47,0.2,CVCVCV,CVCVCV,3,6,,
,,,86506,mécontent,mek§t@,NOM,1,0.62,0.18,1.35,0.34,CVCVCV,CVCVCCVCC,3,9,,
x,x,x,86606,médina,medina,NOM,1,0.37,0.37,1.28,1.08,CVCVCV,CVCVCV,3,6,,
,x,x,86694,méduser,medyze,VER,1,0.48,0.01,1.96,0,CVCVCV,CVCVCVC,3,7,,
,x,x,86742,mégalo,megalo,ADJ,1,0.34,0.32,0,0,CVCVCV,CVCVCV,3,6,,
,x,x,86768,mégoter,megote,VER,1,0.43,0.41,0.47,0.14,CVCVCV,CVCVCVC,3,7,,
,,,87139,mensonger,m@s§Ze,ADJ,1,1.29,0.29,1.96,0.47,CVCVCV,CVCCVCCVC,3,9,,
,,,87411,méritant,meRit@,ADJ,1,0.85,0.51,1.89,0.61,CVCVCV,CVCVCVCC,3,8,,
,,,87725,métisser,metise,VER,1,0.4,0,0.34,0.07,CVCVCV,CVCVCCVC,3,8,,
,x,x,88262,mijaurée,miZoRe,NOM,1,0.61,0.57,1.01,0.68,CVCVCV,CVCVVCVV,3,8,,
x,x,x,88295,milanais,milanE,ADJ,1,0.37,0.23,0.47,0.14,CVCVCV,CVCVCVVC,3,8,,
,,,88471,mimosa,mimoza,ADJ,1,0.46,0.46,0.47,0.47,CVCVCV,CVCVCV,3,6,,
,x,x,88490,minaret,minaRE,NOM,1,0.34,0.21,1.96,0.88,CVCVCV,CVCVCVC,3,7,,
,,,88869,miséreux,mizeR2,NOM,1,0.9,0.88,1.35,1.35,CVCVCV,CVCVCVVC,3,8,,
,,,89184,modéré,modeRe,NOM,1,0.45,0.2,1.42,0.47,CVCVCV,CVCVCV,3,6,,
x,x,x,89445,mollasson,molas§,NOM,1,0.4,0.38,0.2,0.2,CVCVCV,CVCCVCCVC,3,9,,
,,,90337,motivé,motive,ADJ,1,1.43,0.56,0.47,0.14,CVCVCV,CVCVCV,3,6,,
,x,x,91304,mutiner,mytine,VER,1,0.85,0.18,0.47,0.14,CVCVCV,CVCVCVC,3,7,,
,x,x,91839,nautilus,notily,NOM,1,1.26,1.26,0.14,0.14,CVCVCV,CVVCVCVC,3,8,,
,,,91955,nébuleux,nebyl2,ADJ,1,0.45,0.38,1.28,0.68,CVCVCV,CVCVCVVC,3,8,,
,,,92869,nominer,nOmine,VER,1,1.42,0.04,0.34,0,CVCVCV,CVCVCVC,3,7,,
x,x,x,96424,palanquin,pal@k5,NOM,1,0.32,0.32,0.41,0.34,CVCVCV,CVCVCCVVC,3,9,,
,,,96758,paniqué,panike,ADJ,1,1.52,0.64,1.01,0.54,CVCVCV,CVCVCVV,3,7,,
,,,96996,papoter,papote,VER,1,1.77,1.16,1.62,0.61,CVCVCV,CVCVCVC,3,7,,
,x,x,97212,parano,paRano,NOM,1,1.35,1.16,0.68,0.61,CVCVCV,CVCVCV,3,6,,
,x,x,97233,parapher,paRafe,VER,1,0.64,0.06,0.74,0,CVCVCV,CVCVCCVC,3,8,,
,,,97462,paresser,paRese,VER,1,0.42,0.25,0.95,0.34,CVCVCV,CVCVCCVC,3,8,,
x,x,x,97546,parigot,paRigo,ADJ,1,0.4,0.27,1.22,0.81,CVCVCV,CVCVCVC,3,7,,
,,,97563,parité,paRite,NOM,1,0.31,0.31,0.14,0.14,CVCVCV,CVCVCV,3,6,,
,,,97745,parrainer,paREne,VER,1,0.96,0.26,0.27,0.07,CVCVCV,CVCCVVCVC,3,9,,
x,x,x,98089,passavant,pasav@,NOM,1,0.44,0.44,0,0,CVCVCV,CVCCVCVCC,3,9,,
x,x,x,98267,patata,patata,ONO,1,0.32,0.32,1.15,1.15,CVCVCV,CVCVCV,3,6,,
x,x,x,98270,patati,patati,ONO,1,0.33,0.33,1.76,1.76,CVCVCV,CVCVCV,3,6,,
,,,98768,peaufiner,pofine,VER,1,0.67,0.44,1.08,0.34,CVCVCV,CVVVCVCVC,3,9,,
,,,99089,pélican,pelik@,NOM,1,0.43,0.28,1.28,0.81,CVCVCV,CVCVCVC,3,7,,
,,,99875,périmer,peRime,VER,1,1.68,0.01,0.54,0,CVCVCV,CVCVCVC,3,7,,
,x,x,100899,philippin,filip5,ADJ,1,0.41,0.03,1.15,0.2,CVCVCV,CCVCVCCVC,3,9,,
x,x,x,101235,picaro,pikaRo,NOM,1,0.4,0.4,0.07,0.07,CVCVCV,CVCVCV,3,6,,
x,x,x,101237,piccolo,pikolo,NOM,1,0.41,0.4,0.07,0.07,CVCVCV,CVCCVCV,3,7,,
,,,101289,picoter,pikote,VER,1,0.74,0.01,1.62,0.07,CVCVCV,CVCVCVC,3,7,,
,x,x,101585,pilonner,pilone,VER,1,0.6,0.1,1.35,0.27,CVCVCV,CVCVCCVC,3,8,,
,,,101643,pimenter,pim@te,VER,1,0.82,0.56,0.88,0.27,CVCVCV,CVCVCCVC,3,8,,
x,x,x,101938,piranha,piRana,NOM,1,1.32,0.26,0.14,0,CVCVCV,CVCVCCV,3,7,,
,,,103585,policer,pOlise,VER,1,1.27,0.04,0.61,0,CVCVCV,CVCVCVC,3,7,,
,,,103640,polisson,polis§,ADJ,1,1.06,0.56,0.68,0.34,CVCVCV,CVCVCCVC,3,8,,
,x,,103641,polisson,polis§,NOM,1,1.14,0.83,0.54,0.27,CVCVCV,CVCVCCVC,3,8,,
,x,,103909,pomponner,p§pone,VER,1,0.94,0.32,1.69,0.14,CVCVCV,CVCCVCCVC,3,9,,
x,x,x,104063,popotin,popot5,NOM,1,0.79,0.79,0.74,0.74,CVCVCV,CVCVCVC,3,7,,
,,,104421,possédé,posede,ADJ,1,0.81,0.28,1.22,0.47,CVCVCV,CVCCVCV,3,7,,
x,x,x,104422,possédé,posede,NOM,1,1.14,0.9,1.89,1.08,CVCVCV,CVCCVCV,3,7,,
,,,104599,potager,potaZe,ADJ,1,0.41,0.28,1.35,0.81,CVCVCV,CVCVCVC,3,7,,
