bad_cp,bad_as,decision,,ortho,phon,cgram,islem,freqlemfilms2,freqfilms2,freqlemlivres,freqlivres,p_cvcv,cvcv,nbsyll,nblettres,,
x,,,118200,résident,Rezid@,NOM,1,1.66,0.48,1.49,0.54,CVCVCV,CVCVCVCC,3,8,,
x,x,x,118978,rétamer,Retame,VER,1,0.56,0.23,1.55,0.47,CVCVCV,CVCVCVC,3,7,,
,,,119775,révélé,Revele,ADJ,1,0.42,0.23,1.49,0.61,CVCVCV,CVCVCV,3,6,,
x,x,x,119914,révérer,ReveRe,VER,1,0.96,0.12,0.95,0.07,CVCVCV,CVCVCVC,3,7,,
x,x,x,120201,révoquer,Revoke,VER,1,0.82,0.25,0.88,0.14,CVCVCV,CVCVCVVC,3,8,,
,x,x,120432,ricotta,Rikota,NOM,1,0.45,0.45,0,0,CVCVCV,CVCVCCV,3,7,,
x,x,x,120703,riquiqui,Rikiki,ADJ,1,0.5,0.5,0.68,0.68,CVCVCV,CVCVVCVV,3,8,,
x,x,x,120730,risotto,Rizoto,NOM,1,0.54,0.54,0.07,0.07,CVCVCV,CVCVCCV,3,7,,
,,,121100,romarin,RomaR5,NOM,1,1.47,1.47,1.01,1.01,CVCVCV,CVCVCVC,3,7,,
x,x,x,121393,rotary,RotaRi,NOM,1,0.76,0.76,0.34,0.34,CVCVCV,CVCVCV,3,6,,
,,,122480,safari,safaRi,NOM,1,1.77,1.58,1.28,0.88,CVCVCV,CVCVCV,3,6,,
x,x,x,122751,saligaud,saligo,ADJ,1,0.9,0.74,0.41,0.41,CVCVCV,CVCVCVVC,3,8,,
,,,122780,salissant,salis@,ADJ,1,0.65,0.62,0.81,0.54,CVCVCV,CVCVCCVCC,3,9,,
x,x,x,122835,saloper,salope,VER,1,0.66,0.16,1.01,0.47,CVCVCV,CVCVCVC,3,7,,
,x,x,123086,sansonnet,s@sonE,NOM,1,0.32,0.32,0.47,0.41,CVCVCV,CVCCVCCVC,3,9,,
x,x,x,123270,sataner,satane,VER,1,1.12,0,0.81,0.2,CVCVCV,CVCVCVC,3,7,,
,x,x,123561,sauvageon,sovaZ§,NOM,1,0.65,0.01,0.41,0,CVCVCV,CVVCVCVVC,3,9,,
,x,x,123875,scélérat,seleRa,ADJ,1,1.05,0.69,0.27,0.2,CVCVCV,CCVCVCVC,3,8,,
x,,,125877,signalé,siNale,ADJ,1,0.66,0.41,0.74,0.41,CVCVCV,CVCCVCV,3,7,,
,,,126112,simulé,simyle,ADJ,1,0.62,0.3,0.61,0.2,CVCVCV,CVCVCV,3,6,,
,x,x,126230,siphonner,sifone,VER,1,0.35,0.1,0.68,0.2,CVCVCV,CVCCVCCVC,3,9,,
x,x,x,126244,sirocco,siRoko,NOM,1,1.52,1.52,0.68,0.68,CVCVCV,CVCVCCV,3,7,,
x,x,x,126569,sodomie,sodomi,NOM,1,1.44,1.44,0.47,0.47,CVCVCV,CVCVCVV,3,7,,
,,,127827,souriceau,suRiso,NOM,1,0.35,0.35,0.41,0.34,CVCVCV,CVVCVCVVV,3,9,,
,,,128045,soussigné,susiNe,ADJ,1,1.83,1.44,0.61,0.61,CVCVCV,CVVCCVCCV,3,9,,
,,,131375,suturer,sytyRe,VER,1,0.45,0.38,0.27,0.07,CVCVCV,CVCVCVC,3,7,,
,x,x,131562,syndiquer,s5dike,VER,1,0.63,0.23,0.68,0.07,CVCVCV,CVCCVCVVC,3,9,,
,,,131563,syndiqué,s5dike,ADJ,1,0.45,0.24,0.61,0.14,CVCVCV,CVCCVCVV,3,8,,
x,x,x,131838,tagada,tagada,ONO,1,0.99,0.99,0.34,0.34,CVCVCV,CVCVCV,3,6,,
,x,x,131974,taliban,talib@,NOM,1,1.81,0.23,0,0,CVCVCV,CVCVCVC,3,7,,
,,,132046,tambourin,t@buR5,NOM,1,0.56,0.49,1.08,0.47,CVCVCV,CVCCVVCVC,3,9,,
,,,132064,tamisé,tamize,ADJ,1,0.76,0.02,1.96,0.34,CVCVCV,CVCVCV,3,6,,
x,x,x,132196,tantinet,t@tinE,NOM,1,1.02,1.02,1.55,1.55,CVCVCV,CVCCVCVC,3,8,,
,,,133189,tempéré,t@peRe,ADJ,1,0.34,0.22,1.22,0.54,CVCVCV,CVCCVCV,3,7,,
x,x,x,133848,thalasso,talaso,NOM,1,0.45,0.45,0,0,CVCVCV,CCVCVCCV,3,8,,
,x,x,134034,tibétain,tibet5,ADJ,1,0.53,0.29,0.68,0.27,CVCVCV,CVCVCVVC,3,8,,
,,,134494,toboggan,tobog@,NOM,1,0.86,0.59,1.69,1.22,CVCVCV,CVCVCCVC,3,8,,
,x,x,134670,tombola,t§bola,NOM,1,1.23,1.21,0.68,0.61,CVCVCV,CVCCVCV,3,7,,
,,,138276,tutorat,tytORa,NOM,1,0.33,0.33,0,0,CVCVCV,CVCVCVC,3,7,,
,,,139149,valider,valide,VER,1,1.23,0.72,0.54,0.14,CVCVCV,CVCVCVC,3,7,,
,,,139772,vendanger,v@d@Ze,VER,1,0.74,0.47,0.2,0,CVCVCV,CVCCVCCVC,3,9,,
,x,x,139791,vendetta,v@dEta,NOM,1,1.25,1.2,0.81,0.74,CVCVCV,CVCCVCCV,3,8,,
,,,139865,vénéré,veneRe,ADJ,1,1.1,0.91,1.62,0.81,CVCVCV,CVCVCV,3,6,,
,,,139965,ventiler,v@tile,VER,1,0.73,0.23,0.68,0.14,CVCVCV,CVCCVCVC,3,8,,
x,x,x,139968,ventilé,v@tile,ADJ,1,0.35,0.17,0.34,0.14,CVCVCV,CVCCVCV,3,7,,
x,x,x,139973,ventilo,v@tilo,NOM,1,0.54,0.32,0.14,0.07,CVCVCV,CVCCVCV,3,7,,
,x,x,140232,vérolé,veRole,ADJ,1,0.33,0.02,1.96,1.42,CVCVCV,CVCVCV,3,6,,
,x,x,140913,vilenie,vileni,NOM,1,0.58,0.46,1.15,0.74,CVCVCV,CVCVCVV,3,7,,
,,,141207,virulent,viRyl@,ADJ,1,0.96,0.23,1.62,0.41,CVCVCV,CVCVCVCC,3,8,,
,x,,141510,vivoter,vivote,VER,1,0.47,0.02,1.28,0.14,CVCVCV,CVCVCVC,3,7,,
,x,x,142593,zizanie,zizani,NOM,1,0.56,0.56,0.41,0.34,CVCVCV,CVCVCVV,3,7,,
