Serial_num,ortho,phon,cgram,islem,freqlemfilms2,freqfilms2,freqlemlivres,freqlivres,p_cvcv,cvcv,nbsyll,nblettres,freq_mism,freq,mismatch,freq_sum,freq_cat
43026,détoner,detone,VER,1,0.37,0.3,0.2,0.0,CVCVCV,CVCVCVC,3,7,L_0,-0.1392620673335078,0,0.8699999999999999,L
141510,vivoter,vivote,VER,1,0.47,0.02,1.28,0.14,CVCVCV,CVCVCVC,3,7,L_0,0.6471032420585385,0,1.9100000000000001,L
88471,mimosa,mimoza,ADJ,1,0.46,0.46,0.47,0.47,CVCVCV,CVCVCV,3,6,L_0,0.62057648772511,0,1.86,L
110612,ramolli,Ramoli,ADJ,1,0.44,0.17,1.08,0.14,CVCVCV,CVCVCCV,3,7,L_0,0.6043159668533296,0,1.83,L
83740,macaron,makaR§,NOM,1,0.34,0.12,1.35,0.61,CVCVCV,CVCVCVC,3,7,L_0,0.883767540168595,0,2.42,L
21368,caribou,kaRibu,NOM,1,0.91,0.74,0.2,0.14,CVCVCV,CVCVCVV,3,7,L_0,0.6881346387364009,0,1.9899999999999998,L
39847,démoder,demode,VER,1,1.03,0.0,1.55,0.07,CVCVCV,CVCVCVC,3,7,L_0,0.9745596399981308,0,2.65,L
38975,délégué,delege,ADJ,1,0.58,0.25,1.76,1.49,CVCVCV,CVCVCVV,3,7,L_0,1.4060969884160703,0,4.08,L
65550,gabarit,gabaRi,NOM,1,0.33,0.3,1.82,1.62,CVCVCV,CVCVCVC,3,7,L_0,1.4036429994545037,0,4.07,L
139772,vendanger,v@d@Ze,VER,1,0.74,0.47,0.2,0.0,CVCVCV,CVCCVCCVC,3,9,L_0,0.34358970439007686,0,1.41,L
83764,macérer,maseRe,VER,1,0.32,0.23,1.82,0.54,CVCVCV,CVCVCVC,3,7,L_0,1.0681530811834012,0,2.91,L
118200,résident,Rezid@,NOM,1,1.66,0.48,1.49,0.54,CVCVCV,CVCVCVCC,3,8,L_0,1.4279160358107101,0,4.17,L
27936,compiler,k§pile,VER,1,0.58,0.23,0.54,0.0,CVCVCV,CVCCVCVC,3,8,L_0,0.30010459245033816,0,1.35,L
19610,cadencer,kad@se,VER,1,0.38,0.0,1.22,0.14,CVCVCV,CVCVCCVC,3,8,L_0,0.5538851132264377,0,1.7400000000000002,L
81076,lapider,lapide,VER,1,0.93,0.27,1.35,0.34,CVCVCV,CVCVCVC,3,7,L_0,1.0612565021243408,0,2.89,L
84739,mandater,m@date,VER,1,1.14,0.02,0.95,0.0,CVCVCV,CVCCVCVC,3,8,L_0,0.7466879474879751,0,2.11,L
42682,détaché,detaSe,NOM,1,0.34,0.25,0.88,0.74,CVCVCV,CVCVCCV,3,7,L_0,0.7929925155296614,0,2.21,L
20216,calorie,kaloRi,NOM,1,1.43,0.15,0.95,0.0,CVCVCV,CVCVCVV,3,7,L_0,0.9282193027394288,0,2.53,L
103641,polisson,polis§,NOM,1,1.14,0.83,0.54,0.27,CVCVCV,CVCVCCVC,3,8,L_0,1.0224509277025455,0,2.78,L
128045,soussigné,susiNe,ADJ,1,1.83,1.44,0.61,0.61,CVCVCV,CVVCCVCCV,3,9,L_0,1.501852701754163,0,4.49,L
29858,consigné,k§siNe,ADJ,1,0.72,0.19,0.27,0.14,CVCVCV,CVCCVCCV,3,8,L_0,0.2776317365982794,0,1.3199999999999998,L
42380,désosser,dezose,VER,1,0.59,0.13,1.55,0.34,CVCVCV,CVCVCCVC,3,8,L_0,0.959350221334602,0,2.61,L
80841,laminer,lamine,VER,1,0.7,0.44,1.55,0.34,CVCVCV,CVCVCVC,3,7,L_0,1.1085626195212777,0,3.03,L
99875,périmer,peRime,VER,1,1.68,0.01,0.54,0.0,CVCVCV,CVCVCVC,3,7,L_0,0.8020015854720274,0,2.23,L
20585,cancéreux,k@seR2,ADJ,1,0.62,0.16,0.74,0.27,CVCVCV,CVCCVCVVC,3,9,L_0,0.5822156198526637,0,1.79,L
42943,déterré,deteRe,NOM,1,0.4,0.3,0.07,0.07,CVCVCV,CVCVCCV,3,7,L_0,-0.17435338714477766,0,0.8400000000000001,L
96996,papoter,papote,VER,1,1.77,1.16,1.62,0.61,CVCVCV,CVCVCVC,3,7,L_0,1.6409365794934714,0,5.16,L
110634,ramoner,Ramone,VER,1,0.6,0.17,1.55,0.61,CVCVCV,CVCVCVC,3,7,L_0,1.075002423028976,0,2.93,L
98768,peaufiner,pofine,VER,1,0.67,0.44,1.08,0.34,CVCVCV,CVVVCVCVC,3,9,L_0,0.928219302739429,0,2.5300000000000002,L
104664,potiron,potiR§,NOM,1,1.08,0.99,0.95,0.61,CVCVCV,CVCVCVC,3,7,L_0,1.2892326482767595,0,3.6300000000000003,L
21870,cassoulet,kasulE,NOM,1,0.52,0.52,1.62,1.62,CVCVCV,CVCCVVCVC,3,9,L_0,1.4539530095937054,0,4.28,L
97462,paresser,paRese,VER,1,0.42,0.25,0.95,0.34,CVCVCV,CVCVCCVC,3,8,L_0,0.6729444732424258,0,1.96,L
125877,signalé,siNale,ADJ,1,0.66,0.41,0.74,0.41,CVCVCV,CVCCVCV,3,7,L_0,0.7975071958841882,0,2.22,L
139865,vénéré,veneRe,ADJ,1,1.1,0.91,1.62,0.81,CVCVCV,CVCVCV,3,6,L_0,1.4906543764441336,0,4.44,L
31948,corrigé,koRiZe,ADJ,1,0.38,0.05,1.08,0.41,CVCVCV,CVCCVCV,3,7,L_0,0.6523251860396901,0,1.92,L
36365,déchaîné,deSEne,NOM,1,0.35,0.18,1.42,0.61,CVCVCV,CVCCVVCV,3,8,L_0,0.9400072584914712,0,2.56,L
29468,conjuré,k§ZyRe,NOM,1,0.56,0.0,0.47,0.07,CVCVCV,CVCCVCV,3,7,L_0,0.09531017980432493,0,1.1,L
19762,cagoulé,kagule,ADJ,1,0.31,0.03,0.2,0.14,CVCVCV,CVCVVCV,3,7,L_0,-0.3856624808119846,0,0.68,L
80128,kangourou,k@guRu,NOM,1,1.85,1.42,1.42,1.15,CVCVCV,CVCCVVCVV,3,9,L_0,1.7647307968401356,0,5.84,L
87010,ménage,menaZ,NOM,1,29.46,27.55,32.91,29.26,CVCVC,CVCVCV,2,6,H_1,4.780634955318833,1,119.18,H
87169,mental,m@tal,ADJ,1,18.15,5.84,11.35,4.05,CVCVC,CVCCVC,2,6,H_1,3.673511976982814,1,39.38999999999999,H
118817,rester,REste,VER,1,1003.56,310.38,793.78,123.78,CVCCV,CVCCVC,2,6,H_1,7.710429284069325,1,2231.5000000000005,H
99738,perdu,pERdy,ADJ,1,36.46,17.5,58.45,27.43,CVCCV,CVCCV,2,5,H_1,4.940498911907225,1,139.84,H
30792,contrat,k§tRa,NOM,1,53.23,45.7,15.0,12.43,CVCCV,CVCCCVC,2,7,H_1,4.839134975933884,1,126.36000000000001,H
32686,courir,kuRiR,VER,1,146.5,47.19,263.38,71.82,CVCVC,CVVCVC,2,6,H_1,6.2707804707273755,1,528.89,H
45772,dollar,dolaR,NOM,1,134.1,13.89,16.96,3.85,CVCVC,CVCCVC,2,6,H_1,5.128714582161857,1,168.8,H
120758,risquer,Riske,VER,1,100.4,13.06,99.32,14.19,CVCCV,CVCCVVC,2,7,H_1,5.424817850157378,1,226.97,H
97695,parole,paROl,NOM,1,103.48,71.07,178.31,81.82,CVCVC,CVCVCV,2,6,H_1,6.074610128194651,1,434.68,H
126130,sincère,s5sER,ADJ,1,19.51,15.2,22.5,18.65,CVCVC,CVCCVCV,2,7,H_1,4.3288895362607525,1,75.86,H
