Word,phon,lemme,cgram,freqlemfilms2,freqfilms2,freqlivres,nbhomoph,islem,nblettres,nbsyll,cv-cv,cgramortho,pld20,Mlex puPhon,Mlex pld20,Mlex fb,Mlex ff,freq_comb,freq_comb_2,Word,nbphons,Pulexique,PUmMlex,maxPU,finalPU
tueur,t89R,tueur,NOM,64.06,52.42,7.3,2,1,5,1,CYVC,NOM,1.85,3,1.9,7.29999995,52.42,1.776119799,4.930721338,tueur,4,3,3,3,FALSE
fleuve,fl9v,fleuve,NOM,21.58,19.81,39.32,2,1,6,1,CCVC,NOM,1.8,4,1.8,39.31999968,19.81,1.771807877,4.911111028,fleuve,4,4,4,4,TRUE
fuite,f8it,fuite,NOM,29.09,26.02,31.82,2,1,5,1,CYVC,NOM,1.55,4,1.65,31.82000025,26.02,1.762228286,4.867676819,fuite,4,4,4,4,TRUE
perte,pERt,perte,NOM,37.8,30.2,26.62,2,1,5,1,CVCC,NOM,1.15,4,1.4,26.61999973,30.2,1.754501227,4.832775784,perte,4,4,4,4,TRUE
lueur,l89R,lueur,NOM,6.65,5.37,49.12,2,1,5,1,CYVC,NOM,1.7,3,1.7,49.11999973,5.37,1.736316806,4.751112856,lueur,4,3,3,3,FALSE
flamme,flam,flamme,NOM,26.93,12.61,38.38,2,1,6,1,CCVC,NOM,1.15,4,1.35,38.37999984,12.61,1.707485011,4.622990072,flamme,4,4,4,4,TRUE
stop,stOp,stop,NOM,44.5,44.36,6.49,5,1,4,1,CCVC,NOM,1.65,3,1.7,6.49000004,44.36,1.706290958,4.61771979,stop,4,4,3,4,TRUE
science,sj@s,science,NOM,32.97,25.28,24.93,2,1,7,1,CYVC,NOM,1.75,4,1.8,24.93000019,25.28,1.700790223,4.593477606,science,4,4,4,4,TRUE
grange,gR@Z,grange,NOM,7.33,6.95,40.74,2,1,6,1,CCVC,NOM,1.55,4,1.8,40.73999955,6.95,1.678427318,4.495545581,grange,4,4,4,4,TRUE
drame,dRam,drame,NOM,14.87,13.48,32.5,2,1,5,1,CCVC,NOM,1,4,1.2,32.50000023,13.48,1.662568969,4.426704546,drame,4,4,4,4,TRUE
peintre,p5tR,peintre,NOM,17.02,13.6,31.22,2,1,7,1,CVCC,NOM,1.4,4,1.5,31.22000029,13.6,1.651471855,4.378831143,peintre,4,4,4,4,TRUE
troupe,tRup,troupe,NOM,30.93,10.3,32.3,2,1,6,1,CCVC,NOM,1.1,4,1.35,32.29999973,10.3,1.629409596,4.284385229,troupe,4,4,4,4,TRUE
bloc,blOk,bloc,NOM,17.28,14.25,28.31,7,1,4,1,CCVC,NOM,1.5,3,1.5,28.31000011,14.25,1.62900162,4.2826479,bloc,4,4,3,4,TRUE
membre,m@bR,membre,NOM,56.06,26.72,15.2,2,1,6,1,CVCC,NOM,1.65,4,1.75,15.19999983,26.72,1.622421272,4.254672057,membre,4,4,4,4,TRUE
disque,disk,disque,NOM,33.61,20.36,21.49,2,1,6,1,CVCC,NOM,1.55,4,1.6,21.49000024,20.36,1.621695465,4.251591645,disque,4,4,4,4,TRUE
cirque,siRk,cirque,NOM,23.25,22.95,18.38,2,1,6,1,CVCC,NOM,1.3,4,1.5,18.37999988,22.95,1.616265404,4.22857926,cirque,4,4,4,4,TRUE
sport,spOR,sport,NOM,30.04,24.61,15.54,4,1,5,1,CCVC,NOM,1.45,3,1.45,15.54000018,24.61,1.603685552,4.1754929,sport,4,4,3,4,TRUE
brume,bRym,brume,NOM,5.07,4.17,35.88,3,1,5,1,CCVC,NOM,1.1,4,1.4,35.8799998,4.17,1.602602518,4.17093735,brume,4,4,4,4,TRUE
barque,baRk,barque,NOM,10.4,9.52,29.93,2,1,6,1,CVCC,NOM,1,4,1,29.93,9.52,1.596047008,4.143413058,barque,4,4,4,4,TRUE
nuage,n8aZ,nuage,NOM,30.27,11.81,26.49,2,1,5,1,CYVC,NOM,1.8,4,1.85,26.49000001,11.81,1.583198774,4.089717132,nuage,4,4,4,4,TRUE
fruit,fR8i,fruit,NOM,39.45,15.99,21.96,2,1,5,1,CCYV,NOM,1.8,4,1.85,21.9599998,15.99,1.579211778,4.073121618,fruit,4,4,4,4,TRUE
test,tEst,test,NOM,55.38,34.87,2.91,6,1,4,1,CVCC,NOM,1,4,1.25,2.91000002,34.87,1.577261954,4.065017225,test,4,4,4,4,TRUE
cible,sibl,cible,NOM,33.55,28.69,8.65,2,1,5,1,CVCC,NOM,1.35,4,1.6,8.64999993,28.69,1.572174313,4.043906383,cible,4,4,4,4,TRUE
star,staR,star,NOM,39.34,28.91,6.35,2,1,4,1,CCVC,NOM,1.3,1,1.3,6.35000002,28.91,1.547282308,3.94136485,star,4,4,1,4,TRUE
trouille,tRuj,trouille,NOM,17.43,16.9,14.46,2,1,8,1,CCVY,NOM,1.15,4,1.45,14.46000001,16.9,1.496376054,3.73551735,trouille,4,4,4,4,TRUE
tronche,tR§S,tronche,NOM,8.92,8.25,22.57,2,1,7,1,CCVC,NOM,1.55,3,2.45,22.56999986,8.25,1.488832632,3.70545524,tronche,4,4,3,4,TRUE
bourse,buRs,bourse,NOM,19.66,17.48,11.22,2,1,6,1,CVCC,NOM,1.1,4,1.35,11.22000012,17.48,1.457881899,3.583301529,bourse,4,4,4,4,TRUE
temple,t@pl,temple,NOM,15.69,14.36,13.72,2,1,6,1,CVCC,NOM,1.75,4,1.8,13.72,14.36,1.448397103,3.546251273,temple,4,4,4,4,TRUE
garce,gaRs,garce,NOM,21.71,20.25,7.36,2,1,5,1,CVCC,NOM,1.15,4,1.3,7.36000005,20.25,1.441066407,3.517738798,garce,4,4,4,4,TRUE
stade,stad,stade,NOM,15.14,14.34,13.18,2,1,5,1,CCVC,NOM,1.65,4,1.65,13.17999997,14.34,1.439648429,3.512236028,stade,4,4,4,4,TRUE
marge,maRZ,marge,NOM,14.4,14.21,12.64,2,1,5,1,CVCC,NOM,1,4,1,12.63999999,14.21,1.42894429,3.470826073,marge,4,4,4,4,TRUE
grotte,gROt,grotte,NOM,12.23,8.96,17.84,2,1,6,1,CCVC,NOM,1.4,3,1.5,17.84000007,8.96,1.428134795,3.467703788,grotte,4,4,3,4,TRUE
moine,mwan,moine,NOM,11.82,8.21,18.04,2,1,5,1,CYVC,NOM,1.5,4,1.5,18.03999982,8.21,1.419129305,3.433057288,moine,4,4,4,4,TRUE
cuisse,k8is,cuisse,NOM,12.73,4.38,21.22,2,1,6,1,CYVC,NOM,1.5,4,1.65,21.21999976,4.38,1.408239961,3.39137975,cuisse,4,4,4,4,TRUE
foudre,fudR,foudre,NOM,12.94,12.5,12.64,2,1,6,1,CVCC,NOM,1.6,4,1.6,12.63999999,12.5,1.400365273,3.361388171,foudre,4,4,4,4,TRUE
lèvre,lEvR,lèvre,NOM,37.91,4,20.74,2,1,5,1,CVCC,NOM,1.35,2,1.55,20.74000001,4,1.393399695,3.334962407,lèvre,4,4,2,4,TRUE
moeurs,m9Rs,moeurs,NOM,3.08,3.08,21.08,1,1,6,1,CVCC,NOM,1.75,4,1.8,21.08000005,3.08,1.383096931,3.296054051,moeurs,4,4,4,4,TRUE
flèche,flES,flèche,NOM,12.76,8.21,15.54,2,1,6,1,CCVC,NOM,1.5,3,1.65,15.54000018,8.21,1.375663617,3.268114005,flèche,4,4,3,4,TRUE
jungle,Z1gl,jungle,NOM,16.47,16.25,7.43,2,1,6,1,CVCC,NOM,1.95,3,2,7.42999991,16.25,1.374381696,3.263306744,jungle,4,3,3,3,FALSE
buste,byst,buste,NOM,2.44,2.02,21.62,2,1,5,1,CVCC,NOM,1.75,4,1.75,21.61999997,2.02,1.373647472,3.260554848,buste,4,4,4,4,TRUE
jet,dZEt,jet,NOM,10.49,7.96,14.53,2,1,3,1,CCVC,NOM,1.85,4,1.85,14.53000015,7.96,1.351989458,3.179864954,jet,4,4,4,4,TRUE
golf,gOlf,golf,NOM,14.14,14.05,7.16,4,1,4,1,CVCC,NOM,1.9,4,1.9,7.16000002,14.05,1.326540669,3.086250815,golf,4,4,4,4,TRUE
viol,vjOl,viol,NOM,15.33,13.43,7.23,8,1,4,1,CYVC,NOM,1.75,4,1.75,7.23000009,13.43,1.315130319,3.044698075,viol,4,4,4,4,TRUE
slip,slip,slip,NOM,11.35,9.29,10.07,2,1,4,1,CCVC,NOM,1.55,4,1.65,10.06999998,9.29,1.286905353,2.943030739,slip,4,4,4,4,TRUE
nièce,njEs,nièce,NOM,10.1,9.28,9.73,2,1,5,1,CYVC,NOM,1.55,4,1.65,9.72999995,9.28,1.278982116,2.914777368,nièce,4,4,4,4,TRUE
chèvre,SEvR,chèvre,NOM,14.08,8.26,10.14,2,1,6,1,CVCC,NOM,1.8,4,1.8,10.13999998,8.26,1.264817823,2.864581947,chèvre,4,4,4,4,TRUE
culte,kylt,culte,NOM,5.37,4.74,13.58,2,1,5,1,CVCC,NOM,1.4,4,1.6,13.57999987,4.74,1.262925466,2.8579062,culte,4,4,4,4,TRUE
flûte,flyt,flûte,NOM,10.13,9.11,8.92,2,1,5,1,CCVC,NOM,1.4,4,1.7,8.91999995,9.11,1.255995726,2.833520988,flûte,4,4,4,4,TRUE
ruelle,R8El,ruelle,NOM,6.25,4.04,13.51,2,1,6,1,CYVC,NOM,1.7,4,1.8,13.50999992,4.04,1.244277119,2.792502667,ruelle,4,3,4,4,TRUE
poire,pwaR,poire,NOM,7.58,5.67,10.81,2,1,5,1,CYVC,NOM,1.05,4,1.05,10.81000006,5.67,1.216957209,2.697942057,poire,4,4,4,4,TRUE
crasse,kRas,crasse,NOM,3.29,3.16,13.11,2,1,6,1,CCVC,NOM,1,4,1.05,13.10999988,3.16,1.21138755,2.678847345,crasse,4,4,4,4,TRUE
larme,laRm,larme,NOM,45.71,5.15,10.81,2,1,5,1,CVCC,NOM,1.4,4,1.45,10.81000006,5.15,1.203032889,2.65032102,larme,4,4,4,4,TRUE
toast,tost,toast,NOM,16.3,13.73,1.96,2,1,5,1,CVCC,NOM,1.85,4,1.95,1.95999999,13.73,1.195622943,2.625137166,toast,4,4,4,4,TRUE
gouffre,gufR,gouffre,NOM,3.84,3.43,11.35,2,1,7,1,CVCC,NOM,1.8,3,1.85,11.35000007,3.43,1.169674436,2.537812723,gouffre,4,3,3,3,FALSE
cendre,s@dR,cendre,NOM,17.18,3.24,11.08,4,1,6,1,CVCC,NOM,1.25,4,1.3,11.07999988,3.24,1.155943014,2.492147267,cendre,4,4,4,4,TRUE
graine,gREn,graine,NOM,11.41,5.51,8.04,3,1,6,1,CCVC,NOM,1,4,1.1,8.03999999,5.51,1.131939295,2.413225862,graine,4,4,4,4,TRUE
gendre,Z@dR,gendre,NOM,5.71,5.71,7.5,2,1,6,1,CVCC,NOM,1.55,4,1.6,7.50000008,5.71,1.12090282,2.377325953,gendre,4,4,4,4,TRUE
litre,litR,litre,NOM,10.19,2.75,10.2,2,1,5,1,CVCC,NOM,1.05,4,1.2,10.19999993,2.75,1.112269766,2.349413799,litre,4,4,4,4,TRUE
douane,dwan,douane,NOM,6.12,4.33,8.51,2,1,6,1,CYVC,NOM,1.55,4,1.6,8.51000007,4.33,1.108565026,2.337481443,douane,4,4,4,4,TRUE
flash,flaS,flash,NOM,8.52,7.78,4.59,7,1,5,1,CCVC,NOM,1.1,4,1.35,4.59000003,7.78,1.092369701,2.285641264,flash,4,4,4,4,TRUE
crabe,kRab,crabe,NOM,8.14,4.9,7.3,2,1,5,1,CCVC,NOM,1.2,4,1.3,7.29999995,4.9,1.086359829,2.266537507,crabe,4,4,4,4,TRUE
globe,glOb,globe,NOM,4.21,3.17,8.58,2,1,5,1,CCVC,NOM,1.65,3,1.75,8.58000002,3.17,1.070037867,2.215018905,globe,4,4,3,4,TRUE
brèche,bRES,brèche,NOM,3.83,3.54,7.7,2,1,6,1,CCVC,NOM,1,4,1.15,7.69999995,3.54,1.050766309,2.154876146,brèche,4,4,4,4,TRUE
duel,d8El,duel,NOM,7.54,6.17,4.93,2,1,4,1,CYVC,NOM,1.8,4,1.8,4.92999995,6.17,1.045322977,2.138023103,duel,4,4,4,4,TRUE
berge,bERZ,berge,NOM,2.77,1.79,8.72,2,1,5,1,CVCC,NOM,1.2,4,1.2,8.71999989,1.79,1.021602711,2.065274812,berge,4,4,4,4,TRUE
short,SORt,short,NOM,4.42,3.79,6.55,2,1,5,1,CVCC,NOM,1.6,1,1.75,6.54999997,3.79,1.014520537,2.043772459,short,4,4,1,4,TRUE
verbe,vERb,verbe,NOM,2.02,1.66,8.38,2,1,5,1,CVCC,NOM,1.15,4,1.35,8.38000004,1.66,1.001733715,2.005204149,verbe,4,4,4,4,TRUE
