Word,phon,lemme,cgram,freqlemfilms2,freqfilms2,freqlivres,nbhomoph,islem,nblettres,nbsyll,cv-cv,cgramortho,pld20,Mlex puPhon,Mlex pld20,Mlex fb,Mlex ff,freq_comb,freq_comb_2,Word,nbphons,Pulexique,PUmMlex,maxPU,finalPU
accord,akOR,accord,NOM,766.2,761.77,124.66,6,1,6,2,V-CVC,NOM,1.2,4,1.55,124.6600013,761.77,2.947644446,11.63625223,accord,4,4,4,4,TRUE
amour,amuR,amour,NOM,458.27,450.46,373.58,2,1,5,2,V-CVC,NOM,1.45,4,1.55,373.580004,450.46,2.915948296,11.41870276,amour,4,4,4,4,TRUE
bonjour,b§ZuR,bonjour,NOM,570.57,569.88,50.74,2,1,7,2,CV-CVC,NOM,2,3,2.9,50.73999948,569.88,2.792825767,10.59270153,bonjour,5,3,3,3,FALSE
visage,vizaZ,visage,NOM,141.23,125.52,490.54,2,1,6,2,CV-CVC,NOM,1.75,5,1.8,490.5400055,125.52,2.789623015,10.57161958,visage,5,5,5,5,TRUE
famille,famij,famille,NOM,384.92,357.75,241.69,2,1,7,2,CV-CVY,NOM,1.9,5,1.9,241.6899991,357.75,2.777745719,10.493617,famille,5,5,5,5,TRUE
soleil,solEj,soleil,NOM,123.34,120.72,328.78,2,1,6,2,CV-CVY,NOM,1.75,5,1.75,328.7799972,120.72,2.652729693,9.689704519,soleil,5,5,5,5,TRUE
madame,madam,madame,NOM,307.36,249.32,198.72,3,1,6,2,CV-CVC,NOM,1.95,5,2,198.7200012,249.32,2.65131679,9.680797509,madame,5,5,5,5,TRUE
silence,sil@s,silence,NOM,106.43,105.53,313.24,2,1,7,2,CV-CVC,NOM,1.95,5,1.95,313.2400028,105.53,2.621975565,9.496731428,silence,5,5,5,5,TRUE
garçon,gaRs§,garçon,NOM,251.51,188.41,186.96,2,1,6,2,CVC-CV,NOM,1.7,5,2.6,186.9600016,188.41,2.574459562,9.2023016,garçon,5,5,5,5,TRUE
école,ekOl,école,NOM,206.88,197.04,128.51,2,1,5,2,V-CVC,NOM,1.55,3,1.7,128.509999,197.04,2.512617698,8.825865396,école,4,4,3,4,TRUE
journée,ZuRne,journée,NOM,174.89,165.35,140.74,2,1,7,2,CVC-CV,NOM,1.7,5,1.85,140.7400005,165.35,2.485849142,8.665295099,journée,5,5,5,5,TRUE
hôtel,otEl,hôtel,NOM,114.67,107.73,143.78,4,1,5,2,V-CVC,NOM,1.3,4,1.55,143.7799992,107.73,2.400555256,8.163220793,hôtel,4,4,4,4,TRUE
