Word,phon,lemme,cgram,freqlemfilms2,freqfilms2,freqlivres,nbhomoph,islem,nblettres,nbsyll,cv-cv,cgramortho,pld20,Mlex puPhon,Mlex pld20,Mlex fb,Mlex ff,freq_comb,freq_comb_2,Word,nbphons,Pulexique,PUmMlex,maxPU,finalPU
bazooka,bazuka,bazooka,NOM,1.57,1.21,0.81,2,1,7,3,CV-CV-CV,NOM,2.45,3,2.65,0.80999998,1.21,0.305351365,0.398590821,bazooka,6,4,3,4,FALSE
lycéen,lise5,lycéen,NOM,3.55,0.64,1.42,2,1,6,3,CV-CV-V,NOM,1.9,5,1.9,1.42000002,0.64,0.313867225,0.412379859,lycéen,5,5,5,5,TRUE
cassoulet,kasulE,cassoulet,NOM,0.52,0.52,1.62,1,1,9,3,CV-CV-CV,NOM,2,4,2.6,1.61999999,0.52,0.330413771,0.439587032,cassoulet,6,4,4,4,FALSE
décennie,deseni,décennie,NOM,2.67,1.27,0.95,2,1,8,3,CV-CV-CV,NOM,2,4,2.2,0.94999999,1.27,0.346352972,0.466313354,décennie,6,6,4,6,TRUE
leucémie,l2semi,leucémie,NOM,1.9,1.72,0.54,2,1,8,3,CV-CV-CV,NOM,2.85,6,2.85,0.54,1.72,0.354108439,0.479501226,leucémie,6,6,6,6,TRUE
moulinet,mulinE,moulinet,NOM,0.5,0.44,1.82,3,1,8,3,CV-CV-CV,NOM,1.85,6,2.4,1.82000001,0.44,0.354108441,0.479501229,moulinet,6,6,6,6,TRUE
équité,ekite,équité,NOM,0.79,0.79,1.49,1,1,6,3,V-CV-CV,NOM,1.5,5,1.55,1.49000002,0.79,0.357934851,0.486052208,équité,5,5,5,5,TRUE
salami,salami,salami,NOM,2.06,2.04,0.34,2,1,6,3,CV-CV-CV,NOM,1.9,6,1.9,0.34000001,2.04,0.376576959,0.518387165,salami,6,6,6,6,TRUE
apathie,apati,apathie,NOM,0.91,0.91,1.49,1,1,7,3,V-CV-CV,NOM,1.25,5,1.6,1.49000002,0.91,0.380211245,0.524771836,apathie,5,5,5,5,TRUE
hérisson,eRis§,hérisson,NOM,0.75,0.69,1.76,3,1,8,3,V-CV-CV,NOM,1.5,5,2.7,1.75999999,0.69,0.389166083,0.540616322,hérisson,5,5,5,5,TRUE
safari,safaRi,safari,NOM,1.77,1.58,0.88,2,1,6,3,CV-CV-CV,NOM,2,6,2.15,0.88,1.58,0.390935107,0.543765365,safari,6,6,6,6,TRUE
romarin,RomaR5,romarin,NOM,1.47,1.47,1.01,1,1,7,3,CV-CV-CV,NOM,2.1,5,2.35,1.01000001,1.47,0.394451683,0.550043812,romarin,6,5,5,5,FALSE
écusson,ekys§,écusson,NOM,0.37,0.32,2.23,2,1,7,3,V-CV-CV,NOM,2,5,2.9,2.22999998,0.32,0.406540177,0.571815093,écusson,5,4,5,5,TRUE
kangourou,k@guRu,kangourou,NOM,1.85,1.42,1.15,2,1,9,3,CV-CV-CV,NOM,2.85,4,2.85,1.15,1.42,0.409933123,0.577978289,kangourou,6,4,4,4,FALSE
haricot,aRiko,haricot,NOM,8.85,1.4,1.22,2,1,7,3,V-CV-CV,NOM,1.8,4,1.85,1.21999998,1.4,0.418301288,0.593277256,haricot,5,4,4,4,FALSE
pilotis,piloti,pilotis,NOM,0.33,0.33,2.3,1,1,7,3,CV-CV-CV,NOM,1.75,6,1.9,2.3,0.33,0.419955748,0.596318579,pilotis,6,6,6,6,TRUE
résidu,Rezidy,résidu,NOM,2.72,0.89,1.76,2,1,6,3,CV-CV-CV,NOM,1.75,6,2.15,1.75999999,0.89,0.423245872,0.602382941,résidu,6,6,6,6,TRUE
rodéo,Rodeo,rodéo,NOM,2.01,1.92,0.74,3,1,5,3,CV-CV-V,NOM,1.85,2,1.85,0.74000001,1.92,0.424881638,0.605406045,rodéo,5,5,2,5,TRUE
