Predictable end sentence,Unpredictable end sentence,target
"Les jours ensoleillés, Jacques se rend au parc pour promener son chien.","Pendant les grandes vacances, le médecin allait marcher avec son chien.",chien
Émilie l’avait détesté dès le moment où elles s'étaient rencontrées.,Les policiers n'avaient pas du tout compris qu'elles s'étaient rencontrées,rencontrées
"Cette chemise est trop vieille, sa matière est vraiment usée.","Pour se réchauffer, il a mis une couverture très usée.",usée
Le petit oiseau s'est cassé une aile et ne peut plus voler.,Les deux anges pensaient à leur avenir et s'entrainaient à voler.,voler
Le magicien a fait tomber le rideau et la femme avait disparu.,les hommes voulaient voir le maire mais il avait encore disparu.,disparu
Il voulait travailler pour mon entreprise et n'a pas hésité à signer le contrat.,Elle a eu la bonne idée de le rappeler après avoir étudié son contrat‏.,contrat
La fillette a reçu ce cadeau pour son anniversaire.,Elle a acheté un pot de fleurs pour son anniversaire.,anniversaire
Hugo vivait dans une cabane qu'il avait lui-même construite.,Albert a oublié la radio que sa mère avait construite.,construite
La riche héritière portait un collier de perles.,La femme s’était offert un beau bracelet de perles.,perles
"Pour atténuer l’amertume de son café, elle a mis un morceau de sucre.","Pour améliorer cette recette, il faudrait ajouter un peu plus de sucre.",sucre
Il a mis un couteau sous sa gorge.,Elle a encore mal à la gorge.,gorge
Bernard l’avait accueilli avec un thé à la menthe.,Isabelle était sortie cueillir un peu de menthe.,menthe
Elle avait pris son nouvel appareil pour prendre de belles photos.,La galerie d’art a organisé une belle exposition de photos.,photos
Il a encore fait sa tarte aux pommes.,Elle a toujours adoré manger des pommes.,pommes
On a appelé les pompiers car le chat était coincé dans l’arbre.,Nous sommes descendu de la voiture et avons vu un bel arbre.,arbre
"Si on continue comme ça, on va encore rater notre train.","Si elle avait reçu la nouvelle, elle aurait pris le train.",train
"Au printemps, son père‏ tondait la pelouse.","En été, les enfants jouaient sur la pelouse.",pelouse
"Dès sa majorité, il s’était engagé dans l’armée.","Depuis trois ans, elle travaillait dans l’armée.",armée
Après cette grosse bêtise il rougit de honte,"L'après-midi, il su pourquoi il avait honte.",honte
Ces pommes rouges ont très bon goût,Ces vieux hommes ont très mauvais goût,goût
Les gentils garçons l'aident à pousser sa voiture,Elle a voulu réparer sa propre voiture,voiture
"Finalement, elle a dit qu'il n'y a rien comme vivre à la campagne.","Après quelques jours, il a dit qu'il voulait retourner dans sa campagne",campagne
Elle aime ce film sans en comprendre le sens,Georges pense que cette histoire a un sens,sens
Il décida de vendre ses actions en bourse,Elle n'a presque jamais affaire à la bourse,bourse
