Word,phon,lemme,cgram,freqlemfilms2,freqfilms2,freqlivres,nbhomoph,islem,nblettres,nbsyll,cv-cv,cgramortho,pld20,Mlex puPhon,Mlex pld20,Mlex fb,Mlex ff,freq_comb,freq_comb_2,Word,nbphons,Pulexique,PUmMlex,maxPU,finalPU
lieudit,lj2di,lieudit,NOM,0,0,0.07,4,1,7,2,CYV-CV,NOM,2.6,4,2.7,0.07000001,0,-1.154901898,0.178896496,lieudit,5,4,4,4,FALSE
salto,salto,salto,NOM,0.08,0.08,0,1,1,5,2,CVC-CV,NOM,1.75,5,1.85,0,0.08,-1.096910013,0.106301564,salto,5,5,5,5,TRUE
lipide,lipid,lipide,NOM,0.06,0.01,0.07,2,1,6,2,CV-CVC,NOM,1.8,4,1.85,0.07000001,0.01,-1.096909959,0.106301499,lipide,5,4,4,4,FALSE
cueilleur,k9j9R,cueilleur,NOM,0.24,0.11,0,2,1,9,2,CV-YVC,NOM,1.95,4,1.95,0,0.11,-0.958607315,-0.039679331,cueilleur,5,4,4,4,FALSE
benzène,b5zEn,benzène,NOM,0.12,0.12,0,1,1,7,2,CV-CVC,NOM,1.85,4,2,0,0.12,-0.920818754,-0.072911576,benzène,5,4,4,4,FALSE
ethnie,Etni,ethnie,NOM,0.28,0.08,0.07,2,1,6,2,VC-CV,NOM,1.9,4,1.9,0.07000001,0.08,-0.823908712,-0.145083146,ethnie,4,4,4,4,TRUE
latence,lat@s,latence,NOM,0.08,0.08,0.07,2,1,7,2,CV-CVC,NOM,1.8,5,1.85,0.07000001,0.08,-0.823908712,-0.145083146,latence,5,5,5,5,TRUE
roulage,RulaZ,roulage,NOM,0.02,0.02,0.14,2,1,7,2,CV-CVC,NOM,1.55,5,1.7,0.14,0.02,-0.795880017,-0.162455015,roulage,5,5,5,5,TRUE
bouture,butyR,bouture,NOM,0.07,0.03,0.14,2,1,7,2,CV-CVC,NOM,1.7,4,1.7,0.14,0.03,-0.769551079,-0.177342216,bouture,5,4,4,4,FALSE
mouvance,muv@s,mouvance,NOM,0.02,0.01,0.2,2,1,8,2,CV-CVC,NOM,1.85,5,2.1,0.20000001,0.01,-0.677780685,-0.218394028,mouvance,5,5,5,5,TRUE
binôme,binom,binôme,NOM,0.27,0.2,0.07,2,1,6,2,CV-CVC,NOM,2,3,2,0.07000001,0.2,-0.56863622,-0.245289069,binôme,5,5,3,5,TRUE
consonne,k§sOn,consonne,NOM,0.45,0.2,0.07,2,1,8,2,CV-CVC,NOM,1.85,4,2.8,0.07000001,0.2,-0.56863622,-0.245289069,consonne,5,5,4,5,TRUE
cymbale,s5bal,cymbale,NOM,0.45,0.19,0.14,2,1,7,2,CV-CVC,NOM,1.9,5,1.9,0.14,0.19,-0.48148606,-0.249657234,cymbale,5,5,5,5,TRUE
modem,modEm,modem,NOM,0.43,0.37,0,2,1,5,2,CV-CVC,NOM,1.9,4,1.95,0,0.37,-0.431798276,-0.245348525,modem,5,5,4,5,TRUE
gradin,gRad5,gradin,NOM,1.06,0.01,0.41,2,1,6,2,CCV-CV,NOM,1.6,5,1.6,0.40999999,0.01,-0.37675072,-0.234809615,gradin,5,5,5,5,TRUE
comptage,k§taZ,comptage,NOM,0.3,0.3,0.14,1,1,8,2,CV-CVC,NOM,1.75,5,2.45,0.14,0.3,-0.356547324,-0.22942133,comptage,5,5,5,5,TRUE
lécheur,leS9R,lécheur,NOM,0.47,0.3,0.14,2,1,7,2,CV-CVC,NOM,1.75,4,1.85,0.14,0.3,-0.356547324,-0.22942133,lécheur,5,4,4,4,FALSE
import,5pOR,import,NOM,0.43,0.32,0.14,2,1,6,2,V-CVC,NOM,1.6,4,1.7,0.14,0.32,-0.337242168,-0.223509888,import,4,4,4,4,TRUE
rocade,Rokad,rocade,NOM,0.27,0.27,0.2,2,1,6,2,CV-CVC,NOM,1.85,5,1.9,0.20000001,0.27,-0.327902133,-0.220382324,rocade,5,5,5,5,TRUE
